time;interpolated Pixel forehead
0;233.90201729106627
0.018;233.84162506913233
0.048;233.7409713659091
0.078;233.6403176626859
0.108;233.53966395946267
0.138;233.43901025623944
0.168;233.33835655301624
0.198;233.237702849793
0.228;233.13704914656978
0.258;233.03639544334655
0.288;233.0061993323796
0.318;233.0061993323796
0.348;233.06504672631124
0.378;233.200848404615
0.408;233.31689942691204
0.438;233.35394782518233
0.468;233.3909962234526
0.498;233.4397922857184
0.528;233.48899343984613
0.558;233.3797737577147
0.588;233.22233903846094
0.618;233.11390547723883
0.648;233.2014765481432
0.678;233.2890476190476
0.708;233.2890476190476
0.738;233.3131820372685
0.768;233.3460926075697
0.798;233.3625478927203
0.828;233.3625478927203
0.858;233.27135916740409
0.888;233.0079250720461
0.918;233.0079250720461
0.948;233.0079250720461
0.978;233.19365791471813
1.008;233.4374979272225
1.038;233.69739659143252
1.068;233.81868263473055
1.098;233.706536990178
1.128;233.22591279923842
1.158;232.74528860829884
1.188;232.36895389299696
1.218;232.23596128751632
1.248;232.11261914731588
1.278;232.0761311946373
1.308;232.0761311946373
1.338;232.0761311946373
1.368;232.14899266038
1.398;232.2400694925584
1.428;232.2795361198357
1.458;232.23311461456507
1.488;232.07837626366293
1.518;231.939111747851
1.548;231.939111747851
1.578;232.1228764886001
1.608;232.31976728225987
1.638;232.45102781136637
1.668;232.45102781136637
1.698;232.42864408290427
1.728;232.2607661194385
1.758;232.2607661194385
1.788;232.2607661194385
1.818;232.30470391241852
1.848;232.36747218810424
1.878;232.3988563259471
1.908;232.32754986134432
1.938;232.06015061908394
1.968;231.80166468489892
1.998;231.80166468489892
2.028;231.80166468489892
2.058;231.8718870624229
2.088;231.75910666131864
2.118;231.54780263314785
2.148;231.39690183802873
2.178;231.31503330925435
2.208;231.24598844058448
2.238;231.24106187243723
2.268;231.23613530428997
2.298;231.29007354820803
2.328;231.35306791705924
2.358;232.0604734201035
2.388;232.50663821716452
2.418;232.50663821716452
2.448;232.47940797940797
2.478;232.2751811962338
2.508;232.45481028695517
2.538;232.4805256869773
2.568;232.72827963163544
2.598;232.8634181469035
2.628;232.93556453629157
2.658;233.13369768445276
2.688;233.41889831727312
2.718;233.6900495261597
2.748;233.76450879997333
2.778;233.83896807378696
2.808;233.5091787218458
2.838;233.2556794166995
2.868;233.23788976947193
2.898;233.0343042896382
2.928;232.0875354793798
2.958;231.1407666691214
2.988;231.10920770877945
3.018;231.10920770877945
3.048;230.65492608336106
3.078;230.4071361058601
3.108;230.4071361058601
3.138;230.76404705075728
3.168;231.51031539008773
3.198;231.51031539008773
3.228;231.51031539008773
3.258;231.6395752337858
3.288;232.0431298932096
3.318;232.5905198850991
3.348;232.90070754716982
3.378;232.91030664311455
3.408;232.94230362959698
3.438;232.9711009174312
3.468;232.9711009174312
3.498;233.2003589375218
3.528;233.46488742224173
3.558;233.55306358381503
3.588;233.55306358381503
3.618;233.55306358381503
3.648;233.51218931655703
3.678;233.37423866456123
3.708;233.37423866456123
3.738;232.9817912308631
