Count;Frequencies leftCheek;Frequencies rightCheek;Frequencies forehead
45.636;74.21875;74.21875;74.21875
46.099;74.21875;74.21875;74.21875
46.549;74.21875;74.21875;74.21875
47.041;74.21875;74.21875;74.21875
47.502;74.21875;74.21875;74.21875
47.998;74.21875;74.21875;74.21875
48.48;74.21875;76.171875;74.21875
48.949;74.21875;76.171875;74.21875
49.428;76.171875;76.171875;74.21875
49.918;76.171875;76.171875;74.21875
50.383;76.171875;76.171875;74.21875
50.867;76.171875;76.171875;74.21875
51.348;76.171875;76.171875;74.21875
51.878;76.171875;76.171875;76.171875
52.312;76.171875;76.171875;76.171875
52.816;76.171875;76.171875;76.171875
53.291;76.171875;76.171875;76.171875
53.754;76.171875;76.171875;76.171875
54.217;76.171875;76.171875;76.171875
54.734;76.171875;76.171875;76.171875
55.234;76.171875;76.171875;76.171875
55.677;76.171875;76.171875;76.171875
56.178;76.171875;76.171875;76.171875
56.622;76.171875;76.171875;76.171875
57.113;76.171875;76.171875;76.171875
57.6;76.171875;76.171875;76.171875
58.076;78.125;76.171875;76.171875
58.566;78.125;76.171875;76.171875
59.04;78.125;76.171875;76.171875
59.525;78.125;76.171875;76.171875
59.973;78.125;76.171875;76.171875
60.513;78.125;156.25;76.171875
60.987;78.125;156.25;76.171875
61.414;78.125;156.25;76.171875
61.899;78.125;156.25;76.171875
62.399;78.125;156.25;76.171875
62.874;78.125;156.25;76.171875
63.431;78.125;156.25;76.171875
63.823;78.125;156.25;76.171875
64.302;78.125;156.25;76.171875
64.796;78.125;156.25;76.171875
65.256;78.125;156.25;76.171875
65.779;78.125;156.25;76.171875
66.246;76.171875;156.25;76.171875
66.735;76.171875;156.25;76.171875
67.191;76.171875;50.78125;76.171875
67.676;76.171875;50.78125;72.265625
68.139;76.171875;50.78125;72.265625
68.625;76.171875;50.78125;72.265625
69.16;76.171875;50.78125;72.265625
69.587;76.171875;50.78125;72.265625
70.076;76.171875;50.78125;72.265625
70.561;76.171875;50.78125;72.265625
71.078;76.171875;50.78125;72.265625
71.523;76.171875;50.78125;72.265625
72.022;76.171875;50.78125;72.265625
72.491;76.171875;50.78125;72.265625
72.963;76.171875;50.78125;72.265625
73.469;76.171875;50.78125;72.265625
73.936;76.171875;50.78125;72.265625
74.39;76.171875;50.78125;70.3125
74.869;76.171875;50.78125;70.3125
75.359;76.171875;50.78125;70.3125
75.824;76.171875;50.78125;70.3125
76.302;76.171875;76.171875;70.3125
76.786;76.171875;76.171875;70.3125
77.303;76.171875;76.171875;70.3125
77.763;76.171875;76.171875;70.3125
78.32;76.171875;76.171875;70.3125
78.709;76.171875;76.171875;52.734375
79.178;76.171875;76.171875;52.734375
79.672;76.171875;76.171875;52.734375
80.143;76.171875;76.171875;52.734375
80.623;76.171875;76.171875;52.734375
81.157;76.171875;76.171875;52.734375
81.609;76.171875;76.171875;52.734375
82.112;76.171875;76.171875;52.734375
82.582;76.171875;76.171875;52.734375
83.096;76.171875;76.171875;52.734375
83.556;76.171875;76.171875;52.734375
83.981;76.171875;76.171875;52.734375
84.46;76.171875;76.171875;52.734375
84.952;76.171875;76.171875;52.734375
85.468;76.171875;76.171875;52.734375
85.912;76.171875;76.171875;52.734375
86.439;76.171875;76.171875;52.734375
86.876;76.171875;76.171875;52.734375
87.364;76.171875;76.171875;52.734375
87.84;76.171875;76.171875;52.734375
88.31;76.171875;76.171875;52.734375
88.791;74.21875;74.21875;52.734375
89.301;74.21875;74.21875;52.734375
89.782;74.21875;74.21875;52.734375
90.257;74.21875;74.21875;52.734375
90.717;74.21875;74.21875;52.734375
91.217;74.21875;74.21875;52.734375
91.68;74.21875;74.21875;52.734375
92.132;74.21875;74.21875;52.734375
92.678;74.21875;74.21875;52.734375
93.145;74.21875;74.21875;54.6875
93.596;74.21875;74.21875;54.6875
94.066;74.21875;74.21875;54.6875
94.659;74.21875;74.21875;54.6875
95.037;74.21875;74.21875;54.6875
95.492;74.21875;74.21875;54.6875
96.014;74.21875;74.21875;54.6875
96.455;74.21875;74.21875;54.6875
96.957;74.21875;74.21875;54.6875
97.502;74.21875;74.21875;54.6875
97.952;74.21875;74.21875;97.65625
98.433;74.21875;74.21875;97.65625
98.911;74.21875;74.21875;97.65625
99.337;74.21875;74.21875;97.65625
99.842;72.265625;72.265625;97.65625
100.316;72.265625;72.265625;97.65625
100.795;72.265625;72.265625;97.65625
101.284;72.265625;72.265625;97.65625
101.738;72.265625;72.265625;97.65625
102.219;72.265625;72.265625;97.65625
102.718;72.265625;72.265625;97.65625
103.21;72.265625;72.265625;44.921875
103.702;72.265625;44.921875;44.921875
104.184;72.265625;44.921875;44.921875
104.662;72.265625;44.921875;44.921875
105.148;72.265625;44.921875;44.921875
105.579;72.265625;44.921875;44.921875
106.077;72.265625;44.921875;44.921875
106.588;72.265625;44.921875;44.921875
107.043;72.265625;44.921875;44.921875
107.521;72.265625;44.921875;44.921875
107.991;72.265625;44.921875;44.921875
108.542;72.265625;44.921875;44.921875
108.976;72.265625;44.921875;72.265625
109.435;72.265625;44.921875;72.265625
109.894;72.265625;72.265625;72.265625
