time;interpolated Pixel forehead
0;219.01255129133477
0.002;219.01333647071365
0.032;219.02511416139674
0.062;219.03689185207986
0.092;219.04866954276295
0.122;219.06044723344604
0.152;219.07222492412916
0.182;219.08400261481225
0.212;219.09578030549537
0.242;219.10755799617846
0.272;219.11933568686155
0.302;219.13111337754466
0.332;219.14289106822775
0.362;219.15466875891084
0.392;219.16644644959396
0.422;219.17822414027705
0.452;219.19000183096017
0.482;219.20177952164326
0.512;219.21355721232635
0.542;219.22533490300947
0.572;219.23711259369256
0.602;219.24889028437568
0.632;219.26066797505877
0.662;219.27244566574186
0.692;219.28422335642497
0.722;219.29600104710806
0.752;219.30777873779118
0.782;219.31955642847427
0.812;219.33133411915736
0.842;219.34311180984048
0.872;219.35488950052357
0.902;219.3666671912067
0.932;219.37844488188978
0.962;219.39331411698538
0.992;219.40818335208098
1.022;219.4968061654617
1.052;219.62230576798495
1.082;219.38863673052126
1.112;218.61621473307713
1.142;218.0872734159758
1.172;218.53225482024553
1.202;218.97723622451528
1.232;219.49590254128634
1.262;220.0198320660932
1.292;220.18400347455952
1.322;219.64114673958076
1.352;218.87577835193346
1.382;218.45201669864846
1.412;218.06055446144524
1.442;217.8305893046508
1.472;217.8327167498483
1.502;217.89286734554378
1.532;217.93298895618096
1.562;217.95308158175988
1.592;217.95672929936416
1.622;217.87815247709528
1.652;218.19584261877563
1.682;218.5271971385232
1.712;218.94710305940882
1.742;219.20215079038607
1.772;219.20364033592986
1.802;219.21477578803035
1.832;219.16844723460923
1.862;218.31762260388507
1.892;217.4667979731609
1.922;217.3338311041856
1.952;217.34443578756006
1.982;217.47376809034307
2.012;217.6938921020856
2.042;217.8139776761865
2.072;217.73398637500415
2.102;217.76078454627572
2.132;217.86924525530614
2.162;217.93294487185324
2.192;217.89220193927255
2.222;217.84628336308205
2.252;217.75378399440342
2.282;217.83591732873495
2.312;217.99289325007084
2.342;218.14986917140672
2.372;218.22496143008325
2.402;218.11346877885913
2.432;217.90322401769455
2.462;217.77965388015613
2.492;217.7123529311326
2.522;218.0108017074559
2.552;218.0608446969697
2.582;218.10232196969696
2.612;218.23230950948602
2.642;218.38923495664167
2.672;218.3578242390914
2.702;218.13807735683517
2.732;217.94497787260946
2.762;217.88511537853643
2.792;217.8199638974481
2.822;217.75422475113587
2.852;217.6884856048236
2.882;217.6781549473422
2.912;217.7232327786916
2.942;217.76831061004103
2.972;217.8308211357178
3.002;218.00664417452228
3.032;218.18246721332676
3.062;218.479219222154
3.092;218.789407783206
3.122;218.85182559376108
3.152;218.9687800918654
3.182;219.26415665276738
3.212;219.47580591187955
3.242;219.4920914668154
3.272;219.5328156071735
3.302;219.7934870163317
3.332;219.56922704780882
3.362;219.32824530764174
3.392;218.74603951739815
3.422;218.0785277146354
3.452;218.20958654911982
3.482;218.39768614340758
3.512;218.3802485771837
3.542;218.22578623728532
3.572;218.18113106941715
3.602;218.32503807935012
3.632;218.1894755929499
3.662;218.05391310654966
3.692;218.3621743355523
3.722;218.3136509521432
3.752;218.24682653705145
3.782;218.27832932095228
3.812;218.25917825751444
3.842;218.3410513636107
3.872;218.42292446970694
3.902;218.27446613252346
3.932;218.31400357389893
3.962;218.4705720488819
3.992;218.62714052386488
4.022;218.72559822717383
4.052;218.7078343871348
4.082;218.6900705470958
4.112;218.67230670705675
4.142;218.49646622553112
4.172;218.29372687748102
4.202;218.1353177707504
4.232;218.1186157615021
4.262;218.0959778417901
4.292;217.99023717558643
4.322;217.88449650938276
4.352;218.06386241640857
4.382;218.3002496380803
4.412;218.05529835390945
4.442;217.68004342913974
4.472;217.74891025348947
4.502;218.23466827155227
4.532;218.3597266445472
4.562;218.48478501754218
4.592;218.63461626540052
4.622;218.70767174832315
4.652;218.7610909172464
4.682;218.8145100861697
4.712;219.0291814779614
4.742;219.26176978340516
4.772;219.43027363811143
4.802;219.566735267449
4.832;219.55917269857275
4.862;219.49122807017542
4.892;219.65382756497922
4.922;219.68957490974168
4.952;219.72532225450414
4.982;219.82338931594532
5.012;219.9259077857207
5.042;220.04484627149034
5.072;219.95622213968906
5.102;219.70228810900454
5.132;219.76548563488862
5.162;219.8326823587755
5.192;220.01585582474272
5.222;220.19902929070997
5.252;220.21440323667989
5.282;220.18782730265048
5.312;220.1612513686211
5.342;220.23062265658615
5.372;220.14729971183618
5.402;220.01301209723675
5.432;219.86274938057178
5.462;219.70027040938612
5.492;219.66686644092175
5.522;219.90275131629994
5.552;220.15585605889865
5.582;220.02626399218693
5.612;219.91476222672978
5.642;219.99980963020943
5.672;220.13367128482943
5.702;220.19616236979053
5.732;220.16532270981307
5.762;220.1344830498356
5.792;220.10786957031414
5.822;220.08495399869162
5.852;220.12080334705112
5.882;220.27687745876395
5.912;220.1964442046771
5.942;220.11601095059027
5.972;220.04470766353478
6.002;219.83790349472375
6.032;219.7746316602735
6.062;219.86410398904806
6.092;219.8624774658769
6.122;220.10304804639082
6.152;220.2129891085115
6.182;220.29680426695353
6.212;220.02912728443826
6.242;219.72073067234248
6.272;219.7020462597497
6.302;219.67880861611414
6.332;219.73313580254086
6.362;219.7993960397464
6.392;219.98364445471884
6.422;220.2362018147142
6.452;220.26553873294432
6.482;220.27007337986717
6.512;220.2531205281333
6.542;220.21973605977956
6.572;220.18635159142588
6.602;220.27799544994946
6.632;220.28295743854457
6.662;220.2448163244619
6.692;220.250624785051
6.722;220.27373408163913
6.752;220.216500008776
6.782;220.15434187682075
6.812;220.02324691757644
6.842;219.97989495815204
6.872;219.88400235189422
6.902;219.795852589701
6.932;219.8184083396898
6.962;219.87818574814602
6.992;219.82079548776917
7.022;219.82023765591558
7.052;219.82599453834231
7.082;219.83175142076905
7.112;219.83860101948272
7.142;219.8465433344833
7.172;219.76887967893398
7.202;219.67804587406926
7.232;219.7041218567642
7.262;219.6566180500782
7.292;219.54029982386734
7.322;219.78840970350404
7.352;219.95119875159597
