time;Pixel forehead
0;219.01255129133477
0.932;219.37844488188978
1.002;219.41313976377953
1.07;219.6976055294989
1.136;217.99827713512184
1.204;219.0069016514666
1.271;220.17701092353525
1.306;220.18866517524236
1.339;219.0594084016903
1.407;218.09888198757764
1.448;217.78459627329192
1.517;217.9229426433915
1.587;217.96982543640897
1.623;217.87553324968633
1.69;218.61555834378922
1.729;219.2032967032967
1.763;219.2002997002997
1.83;219.2251688766575
1.897;217.32499386804022
1.965;217.34903115035564
2.032;217.8406414432473
2.085;217.69932347782512
2.153;217.94516775162745
2.219;217.8555332999499
2.261;217.72603418379984
2.347;218.1760318249627
2.386;218.25236200895077
2.421;217.9485330681253
2.488;217.67255976095618
2.523;218.02075
2.589;218.112
2.657;218.46769768021952
2.727;217.95495495495496
2.765;217.87912912912913
2.867;217.65561603166748
2.968;217.8073780638772
3.035;218.20004951720722
3.102;218.89280397022333
3.137;218.8210918114144
3.203;219.4709202453988
3.269;219.50674846625768
3.303;219.80217606330365
3.368;219.28004895960834
3.424;218.03402692778457
3.494;218.4729259811227
3.562;218.12281134401974
3.599;218.33859432799014
3.667;218.0313193588163
3.7;218.46804792810784
3.735;218.22241637543684
3.777;218.2827238335435
3.81;218.25372005044136
3.877;218.43656998738965
3.912;218.20962459057696
4.012;218.73151950718685
4.113;218.67171457905545
4.155;218.41790661877886
4.193;218.14032837352488
4.26;218.103027219537
4.327;217.86687306501548
4.394;218.39480452674897
4.427;217.77237654320987
4.462;217.55693261037956
4.496;218.20965659695327
4.564;218.4931222424085
4.598;218.66493641318453
4.685;218.819852003062
4.752;219.33929921855307
4.819;219.6440635240736
4.852;219.42857142857142
4.887;219.64786967418547
4.954;219.72770541082164
5.021;219.9566633266533
5.059;220.11623246492985
5.094;219.68543543543544
5.161;219.82657657657657
5.228;220.2356639839034
5.316;220.1577079107505
5.349;220.25025354969574
5.415;219.95482079757699
5.482;219.59195109526235
5.516;219.84666327050434
5.55;220.16449553001277
5.584;220.0176245210728
5.618;219.8927203065134
5.689;220.20952622244744
5.776;220.1200912085128
5.843;220.06891309855587
5.88;220.28223967570307
5.948;220.0999242997729
5.982;220.02170073176887
6.016;219.70924542879217
6.054;219.86453772856038
6.092;219.8624774658769
6.127;220.14314314314313
6.194;220.33033033033033
6.23;219.7279242385462
6.268;219.70514461223445
6.306;219.67571026362938
6.373;219.8236914600551
6.425;220.26145755071374
6.495;220.27203839353373
6.575;220.1830131445905
6.611;220.30965621840244
6.679;220.2232030264817
6.712;220.29281210592686
6.78;220.16308154077038
6.814;220.01450725362682
6.857;219.96135265700482
6.889;219.79633867276888
6.923;219.7950673785914
6.958;219.88583778286295
6.995;219.8150564617315
7.097;219.83462986198242
7.146;219.84760230981672
7.213;219.64474014561887
7.248;219.754127508255
7.286;219.48945897891795
7.32;219.7775571002979
7.355;219.96747765640515
7.394;219.91440763052208
7.428;219.89357429718876
7.469;219.7953629032258
7.54;219.78679435483872
7.607;219.60282258064515
7.641;219.60987903225808
7.707;218.74153612935825
7.74;218.73521980798384
7.774;219.0846387064174
7.808;219.3247645711377
7.842;219.12344107915501
7.876;219.2122890959456
7.91;218.97305464618483
7.946;219.2980332829047
7.98;219.22188603126577
8.047;218.60976863753214
8.084;219.04575835475578
8.121;218.88483290488432
8.19;219.7667675239536
8.258;219.80635400907715
8.325;219.7930947580645
8.361;219.49899193548387
8.429;218.91097998973834
8.479;219.08905660377357
8.513;218.9451572327044
8.548;219.02314465408804
8.583;219.22995461422087
8.651;219.0897629853757
8.688;218.91245876681046
8.755;219.3586595037094
8.802;219.3433103095421
8.834;218.97390636991557
8.901;219.0848407643312
8.977;219.07949044585988
9.019;219.07338276655588
9.087;219.32523651240092
9.124;218.91065989847715
9.194;219.098730964467
9.228;218.96233230134158
9.262;218.875128998968
9.31;219.0772200772201
9.347;219.07799227799228
9.381;219.03449163449164
9.419;219.00051679586562
9.453;218.9015503875969
9.487;219.0720930232558
9.521;219.54047064908198
9.572;219.43366951124904
9.639;219.16593434996122
9.71;219.3026621866115
9.754;219.1498847040738
9.82;219.4209582372534
9.855;219.58374448195275
9.889;219.31056868345885
9.923;219.18948182521268
9.956;219.25393142562515
9.991;219.40274185204345
10.024;219.61795137092602
10.059;219.7534919813761
10.124;219.70382824624934
10.158;219.15265200517464
10.196;219.34618369987064
10.23;219.61168562564632
10.264;219.56023784901757
10.331;219.67390194075588
10.403;219.83682328907048
10.438;219.88796895213454
10.477;219.73324708926262
10.545;220.04195624195623
10.613;220.05405405405406
10.647;220.1118556701031
10.68;220.0451030927835
10.714;220.31159793814433
10.748;220.1090206185567
10.781;219.53607710341234
10.814;219.45011721802553
10.85;219.65225133553804
10.885;220.0966675146273
10.922;220.28211650979395
11.014;219.93505497315266
11.109;220.04320040899796
11.198;219.9444155844156
11.233;219.9135064935065
11.3;220.20451050743208
11.335;220.14223475140955
11.401;220.3173545244809
11.437;220.2491668802871
11.474;220.29556523968213
11.509;220.31208397337429
11.543;220.4900153609831
11.577;220.70005109862035
11.611;220.5038323965253
11.648;220.2190500908383
11.685;220.2190500908383
11.753;220.73600410888545
11.789;221.0215716486903
11.86;220.94966615305597
11.897;220.46135831381733
11.979;220.30601092896174
12.014;220.7675966214487
12.052;220.774251343742
12.118;220.5646907216495
12.153;220.55154639175257
12.22;220.6331619537275
12.254;220.6646216768916
12.289;220.7185582822086
12.329;220.78438469493278
12.363;221.0674767321613
12.407;221.00672182006204
12.454;220.45648267008985
12.524;220.53196405648268
12.596;221.0934771443246
12.628;220.909604519774
12.667;221.0378238341969
12.706;220.47331606217617
12.771;220.999486521181
12.805;221.06777920410784
12.839;221.09253964127893
12.907;221.14878803506963
12.973;220.78416709644148
13.04;220.26348709929633
13.107;220.32525410476936
13.173;220.43236903831118
13.212;221.08774193548388
13.25;221.03045161290322
13.285;220.8047705470573
13.319;220.7303603837179
13.357;221.07280679187033
13.392;221.2387445330589
13.459;221.05001295672454
13.494;221.2933402435864
13.531;220.8736594297672
13.566;220.65916819251896
13.598;220.51504054407533
13.632;220.2434055889266
13.666;220.50822669104204
13.7;220.45338208409507
13.769;220.92976066597294
13.849;220.6422996878252
13.916;219.93048553993103
13.951;220.35155213584505
13.986;220.4149104320337
14.02;220.0287144362487
14.059;219.7617546624639
14.093;219.78881008668242
14.16;220.48477627746888
14.197;220.402435795605
14.263;220.13315579227697
14.329;220.09347536617844
14.409;220.20798934753662
14.452;220.4895030560723
14.485;220.5960669678448
14.552;220.60047656870532
14.586;220.40826052422557
14.62;220.1104589114194
14.654;219.9405016008538
14.722;220.2115333510497
14.755;220.3377624235982
14.789;220.2015259142331
14.824;219.66219415943172
14.861;220.07986203236933
14.898;220.07986203236933
14.942;220.0376757760679
15.009;220.49673373399528
15.08;220.33394303632087
15.133;220.2641607935265
15.172;220.23101018010962
15.238;220.32143794279716
15.273;220.39281028601417
15.31;220.61300309597524
15.375;220.43059855521156
15.413;220.27565755544094
15.48;220.32155750386798
15.549;220.44747682801236
15.587;220.57028836251288
15.621;220.17919670442842
15.688;220.39386056191466
15.723;220.39958376690947
15.757;220.84797913950456
15.79;220.83989569752282
15.825;220.77913950456323
15.86;220.76322020520917
15.896;220.65403841094448
15.964;220.76967021552844
15.998;220.88055050636197
16.033;221.05921052631578
16.068;221.0142105263158
16.135;220.2904246900554
16.201;220.44500131891323
16.243;220.33579530466895
16.283;220.75202086049543
16.358;220.8013037809648
16.393;220.53870211102424
16.425;220.5181131091999
16.492;220.51853785900784
16.528;220.84621409921672
16.563;220.47021943573668
16.63;220.7675026123302
16.664;221.02983892263006
16.731;221.11486664906258
16.767;220.7364705882353
16.835;221.0562091503268
16.87;220.68549019607843
16.905;221.22826652785008
16.982;221.0252472670484
17.052;220.46287978863936
17.118;220.82432792121372
17.154;220.79185520361992
17.221;220.98072352785846
17.289;221.21732241880116
17.324;221.28447368421052
17.358;221.31263157894736
17.394;221.09093319194062
17.428;220.8594909862142
17.462;220.93266171792152
17.53;221.14499605988968
17.605;221.38639348568427
17.641;220.94372863528793
17.677;221.01525111753878
17.744;220.82224559558244
17.779;221.36346960167714
17.815;221.13312368972746
17.851;221.0488322717622
17.885;221.17091295116774
17.92;221.5671759747102
17.954;221.34536354056902
17.992;221.28593913955928
18.026;221.147166841553
18.093;221.0154774396642
18.129;221.2599685204617
18.197;221.3118590586379
18.263;221.60399684459637
18.352;221.78696343402225
18.386;221.8712241653418
18.42;221.78526315789475
18.454;221.77105263157895
18.489;222.00132030631107
18.523;222.016107736995
18.591;221.9703232644409
18.624;221.5307366189719
18.672;221.2340312748476
18.74;221.6127749801219
18.808;221.75669228730453
18.841;222.09807540205642
18.878;222.23754284207752
18.916;221.37593383137673
18.95;221.51494130202775
19.017;222.124143384291
19.084;221.43139320516198
19.117;221.33394785356862
19.156;221.96869244935544
19.189;221.90686661404894
19.257;221.81636411470666
19.327;221.6904948939513
19.36;221.6904948939513
19.397;221.40612725844463
19.464;221.6657817892222
19.497;221.61906026015396
19.531;221.61906026015396
19.566;221.85714285714286
19.601;221.73152259075476
19.635;221.66814274550663
19.671;221.56394894503777
19.737;221.79368805425145
19.804;221.77678571428572
19.871;221.85845588235293
19.94;221.83547288446425
19.975;222.1367566151428
20.008;221.91249672517685
20.042;222.02003691009756
20.076;221.84629580806748
20.112;222.00052728710784
20.145;222.29251170046803
