time;Pixel leftCheek
0;211.18449389806173
0.932;211.13054707677858
1.002;210.7614463489082
1.07;212.73651698740792
1.136;210.1853057428505
1.204;212.3187127532777
1.271;212.1203128594433
1.306;213.4859745864301
1.339;211.92567729561256
1.407;209.19728984841524
1.448;209.1214974735875
1.517;210.30024096385543
1.587;210.37397590361445
1.623;209.19383674429545
1.69;210.47471183251
1.729;211.6687958362905
1.763;211.27277028625502
1.83;211.15043621787314
1.897;208.6816705336427
1.965;209.1294663573086
2.032;209.85822306238185
2.085;209.86578449905483
2.153;209.76346604215456
2.219;209.74847775175644
2.261;209.83130556855406
2.347;210.4012723845429
2.386;210.1583411875589
2.421;209.9057492931197
2.488;209.6186779581275
2.523;210.31728045325778
2.589;210.47568460812087
2.657;210.19738378883437
2.727;209.54227472782026
2.765;209.4389622422979
2.867;210.03929924242425
2.968;209.22071346375145
3.035;209.73164556962024
3.102;211.96808003811338
3.137;211.63744640304907
3.203;212.1145127366207
3.269;212.13507828931992
3.303;212.6094660760084
3.368;212.0242707117853
3.424;210.60443407234538
3.494;210.72814399251988
3.562;210.70862192500596
3.599;210.74301409123478
3.667;210.90088368760448
3.7;210.29226493747106
3.735;210.2665585919407
3.777;210.59971098265896
3.81;210.8718689788054
3.877;210.76180154142583
3.912;209.79768518518517
4.012;211.58524670249145
4.113;211.7457254518808
4.155;210.32994803967878
4.193;209.70925838450637
4.26;210.49330085261875
4.327;209.76721629485937
4.394;210.06310444874273
4.427;209.78094777562862
4.462;209.50645868876433
4.496;209.74067755301
4.564;210.47925711529186
4.598;210.81693198263386
4.685;211.36016144349477
4.752;211.20925266903916
4.819;211.4623962040332
4.852;211.39053957689566
4.887;211.40432612312813
4.954;211.0500478927203
5.021;211.30747126436782
5.059;211.47030651340995
5.094;210.83139672753143
5.161;210.6276974152241
5.228;211.70239535446407
5.316;210.32883203032458
5.349;210.70741530443024
5.415;211.6921039961483
5.482;210.6060749881348
5.516;210.96891314665402
5.55;212.21532141130982
5.584;212.25737071048815
5.618;212.47438376027065
5.689;211.52796790181733
5.776;211.4248288883644
5.843;212.2380376993717
5.88;212.2696955050749
5.948;210.79449498483788
5.982;210.66363424306041
6.016;212.0964785335263
6.054;212.03521466473708
6.092;212.27038109020742
6.127;210.70668229777257
6.194;210.47456037514655
6.23;211.99686520376176
6.268;211.9807089462262
6.306;211.91945985049432
6.373;211.02887750349325
6.425;210.70377270610155
6.495;211.27084818246615
6.575;211.2547036688617
6.611;211.24788334901223
6.679;211.72095752170853
6.712;211.59586951419854
6.78;210.71823722456634
6.814;210.92991092358182
6.857;211.58281770585435
6.889;211.4381247025226
6.923;210.9850071394574
6.958;211.22727272727272
6.995;210.70039821972358
7.097;210.70320918247833
7.146;211.50626625679828
7.213;211.7869472688579
7.248;210.7278657968313
7.286;211.12651444547996
7.32;211.38713450292397
7.355;211.26198830409356
7.394;210.89522015540382
7.428;210.8349423122204
7.469;211.6397426733381
7.54;211.28687157493448
7.607;210.97807958065286
7.641;210.6940671908506
7.707;210.4546313799622
7.74;210.6836011342155
7.774;210.64957466918713
7.808;210.961060678452
7.842;210.8967988533206
7.876;210.21173171301706
7.91;210.04907688712316
7.946;211.09195944352746
7.98;211.12214100448008
8.047;210.76603773584907
8.084;210.72665094339624
8.121;210.75801886792453
8.19;211.52153110047846
8.258;212.01411483253588
8.325;210.8304846640131
8.361;210.4483727464294
8.429;211.2508369201339
8.479;209.9062573236466
8.513;209.65737051792829
8.548;209.72674009842981
8.583;211.11148325358852
8.651;210.44138755980862
8.688;209.69988249118683
8.755;211.63475091130013
8.802;211.29647630619684
8.834;211.5895504252734
8.901;209.99859088774073
8.977;210.08008454673555
9.019;211.18697021070477
9.087;210.87042867522402
9.124;210.39089595375722
9.194;210.30154142581887
9.228;210.20048250904705
9.262;210.3686369119421
9.31;210.82632226322264
9.347;210.80123001230012
9.381;210.86986469864698
