time;Pixel rightCheek
0;230.7982005141388
0.932;230.52882531426096
1.002;230.57758994364977
1.07;230.8277972027972
1.136;228.7509977827051
1.204;230.365726681128
1.271;231.25207152202356
1.306;230.8908058528063
1.339;229.8226687049574
1.407;229.08938793483048
1.448;228.8447820343461
1.517;229.43899733806566
1.587;229.65217391304347
1.623;229.25687866486243
1.69;230.34100135317996
1.729;231.04541406945683
1.763;231.2226179875334
1.83;230.3912373403787
1.897;229.0696802646086
1.965;229.361190738699
2.032;229.58615281200986
2.085;229.56217790723727
2.153;229.21230425055927
2.219;229.18993288590605
2.261;229.3684919210054
2.347;229.56539235412475
2.386;229.65772412251286
2.421;229.4491392801252
2.488;229.61087396090767
2.523;229.50865896980463
2.589;229.82238010657193
2.657;229.72012438916036
2.727;229.664880553695
2.765;229.58227282875643
2.867;229.06268059568794
2.968;229.64478678276402
3.035;230.05849519982138
3.102;230.5124806715264
3.137;230.52264192622044
3.203;231.27569367369588
3.269;230.97602663706994
3.303;230.8974756421612
3.368;230.67896354852877
3.424;228.9554238032499
3.494;229.61574279379158
3.562;229.48085387323943
3.599;229.58890845070422
3.667;229.41043133802816
3.7;229.53137516688918
3.735;229.702492211838
3.777;229.15288611544463
3.81;229.06262536215735
3.877;229.18698462224202
3.912;229.77530692610608
4.012;230.2194073738973
4.113;229.72110382266456
4.155;229.52664504170528
4.193;229.54819277108433
4.26;228.8555030384875
4.327;228.3362831858407
4.394;228.985883424408
4.427;228.65277777777777
4.462;228.64285714285714
4.496;229.07165605095543
4.564;228.90163567107328
4.598;229.17521846291731
4.685;228.66793041926852
4.752;228.68521000893654
4.819;228.61550491510278
4.852;228.75395033860045
4.887;228.77155756207674
4.954;228.51946902654868
5.021;228.79048672566373
5.059;228.81991150442477
5.094;229.0371537941905
5.161;229.00675523530737
5.228;228.90462298025133
5.316;229.46507972153606
5.349;229.27037951942512
5.415;228.2265043948614
5.482;228.70908263145913
5.516;228.7384475301616
5.55;228.7763217352011
5.584;228.49751468594667
5.618;228.45616809760506
5.689;228.5197907188353
5.776;228.53980891719746
5.843;228.87381425104786
5.88;228.7685859254357
5.948;228.83667883211677
5.982;228.6587591240876
6.016;228.55137449301486
6.054;228.47972059486256
6.092;228.800360522758
6.127;229.08779395296753
6.194;229.0219484882419
6.23;228.9164613661814
6.268;228.87995520716686
6.306;229.1464725643897
6.373;228.68113374667848
6.425;228.69375553587244
6.495;228.8697581539827
6.575;228.62262038073908
6.611;228.69921612541992
6.679;228.7952773446202
6.712;228.53486299844064
6.78;228.19477644975652
6.814;228.32669322709162
6.857;228.11385368023127
6.889;228.25550366911276
6.923;228.18701356459863
6.958;228.54191683344453
6.995;228.5194805194805
7.097;228.62852664576803
7.146;228.570445972931
7.213;228.50277346350123
7.248;228.12536377882248
7.286;228.18312066263712
7.32;227.99089091313041
7.355;228.14707842701623
7.394;228.4585289514867
7.428;228.63939190699753
7.469;228.51825625138304
7.54;228.320646160655
7.607;228.01371984952422
7.641;228.18521796857712
7.707;227.97155756207675
7.74;228.07539503386005
7.774;228.1783295711061
7.808;228.34974608081254
7.842;228.2503863987635
7.876;228.12885785086732
7.91;228.1572426222122
7.946;227.984046089076
7.98;227.76401506758253
8.047;228.45766898719964
8.084;228.45946552885695
8.121;228.50415450258254
8.19;228.46926138876603
8.258;228.4343210968598
8.325;228.7271702367531
8.361;228.64284103720405
8.429;228.30856507230257
8.479;228.21815748382778
8.513;228.28953825563238
8.548;228.11867053312514
8.583;228.3611728120835
8.651;228.34629053753886
8.688;228.7433447098976
8.755;229.10612888688598
8.802;228.90941865705273
8.834;228.92045966651645
8.901;228.1012658227848
8.977;227.8887884267631
9.019;228.7402802893309
