time;interpolated Pixel forehead
0;229.98076923076923,227.88238866396762,229.57834008097166
0.004;229.98705082770925,227.8877769808355,229.58265196407237
0.034;230.03416280475946,227.92818935734465,229.6149910873277
0.064;230.08127478180967,227.9686017338538,229.64733021058302
0.094;230.12838675885988,228.00901411036293,229.67966933383835
0.124;230.17549873591008,228.04942648687208,229.71200845709367
0.154;230.2226107129603,228.08983886338123,229.744347580349
0.184;230.2697226900105,228.13025123989038,229.77668670360433
0.214;230.3168346670607,228.1706636163995,229.80902582685965
0.244;230.36394664411094,228.21107599290866,229.84136495011498
0.274;230.41105862116115,228.2514883694178,229.87370407337028
0.304;230.45817059821135,228.29190074592694,229.9060431966256
0.334;230.50528257526156,228.3323131224361,229.93838231988093
0.364;230.55239455231177,228.37272549894524,229.97072144313626
0.394;230.59950652936197,228.4131378754544,230.00306056639158
0.424;230.64661850641218,228.45355025196352,230.0353996896469
0.454;230.67083839303265,228.48085041254836,230.0402570038272
0.484;230.67979688603333,228.49940909585033,230.02679311195752
0.514;230.68875537903398,228.51796777915226,230.0133292200878
0.544;230.69771387203465,228.53652646245422,229.9998653282181
0.574;230.713351038975,228.5571665556875,230.0057978420783
0.604;230.76238157561372,228.58821369857745,230.10871238458805
0.634;230.81141211225244,228.6192608414674,230.21162692709777
0.664;230.86044264889117,228.65030798435734,230.3145414696075
0.694;230.78906127355395,228.5396029058137,230.2301877473944
0.724;230.68757692022274,228.39345977191164,230.0990169590006
0.754;230.58609256689155,228.24731663800958,229.9678461706068
0.784;230.48460821356036,228.1011735041075,229.83667538221303
0.814;230.32409909701266,227.91165630237845,229.65340614369578
0.844;229.96965147275358,227.5796243063607,229.2989562833443
0.874;229.61520384849447,227.24759231034295,228.94450642299284
0.904;229.2607562242354,226.9155603143252,228.59005656264137
0.934;229.1803613463504,226.78006528102188,228.5329749278066
0.964;229.19962201260145,226.71603823416012,228.58402719315973
0.994;229.21888267885248,226.65201118729837,228.63507945851285
1.024;229.25714626880904,226.6296731425111,228.68858660090905
1.054;229.3397500140785,226.70460943589762,228.74782178973916
1.084;229.42235375934794,226.77954572928414,228.80705697856925
1.114;229.5049575046174,226.85448202267065,228.86629216739937
1.144;229.4121696434721,226.7872891067838,228.80214298876044
1.174;229.30685381044006,226.70994410452028,228.72918064101657
1.204;229.20153797740798,226.63259910225676,228.65621829327273
1.234;229.16991465004753,226.6600207303782,228.66373450062943
1.264;229.19464441525952,226.76755801702927,228.73279313247477
1.294;229.21937418047148,226.87509530368033,228.80185176432013
1.324;229.25381809205987,226.97039098932547,228.86501672267556
1.354;229.32017991317088,227.02546427166538,228.9088167538498
1.384;229.38654173428185,227.08053755400533,228.95261678502405
1.414;229.45290355539282,227.13561083634525,228.9964168161983
1.444;229.51926537650382,227.19068411868517,229.04021684737253
1.474;229.43038852032862,227.11897350043628,228.93677742604788
1.504;229.2942651101968,227.00867647766037,228.78852599744096
1.534;229.15814170006493,226.8983794548845,228.64027456883403
1.564;229.0220182899331,226.78808243210858,228.4920231402271
1.594;229.00259375840469,226.79651336392962,228.45620987230845
1.624;229.2165669840832,227.04240020494456,228.64527292576633
1.654;229.4305402097617,227.2882870459595,228.83433597922422
1.684;229.6445134354402,227.53417388697443,229.0233990326821
1.714;229.61918876026886,227.52404624097585,229.03121110281305
1.744;229.57677137789395,227.4956318459049,229.02607667413494
1.774;229.53435399551904,227.46721745083397,229.0209422454568
1.804;229.67278531069474,227.6632711666483,229.2642541720715
1.834;230.01790085164254,228.11585986633148,229.7915047904494
1.864;230.3109421932165,228.46445019730044,230.19153315426828
1.894;230.4607794865124,228.52704501430523,230.24170031804985
1.924;230.61061677980825,228.58963983131005,230.29186748183142
1.954;230.76045407310414,228.65223464831485,230.34203464561298
1.984;230.85187892316782,228.72574237855076,230.40198707128624
2.014;230.92870066242347,228.80197833709448,230.46438581243243
2.044;231.0055224016791,228.87821429563817,230.52678455357864
2.074;231.0307793682682,228.9232644897499,230.555842785171
2.104;230.97868917585754,228.92153603721366,230.5348902524327
2.134;230.92659898344687,228.91980758467741,230.51393771969435
2.164;230.87847783583507,228.91973201706963,230.49747653954682
2.194;230.88592331540733,228.94279683846017,230.54389429567073
2.224;230.89336879497955,228.96586165985073,230.59031205179463
2.254;230.87773720055822,228.94394699405817,230.61562432212992
2.284;230.84874519487744,228.895991572528,230.62871762700865
2.314;230.81975318919666,228.84803615099784,230.64181093188736
2.344;230.79076118351588,228.80008072946768,230.6549042367661
2.374;230.78418572383555,228.7750081496028,230.67154061228337
2.404;230.88969299415734,228.86434977806428,230.70589234099327
2.434;230.99520026447917,228.9536914065258,230.74024406970318
2.464;231.10070753480096,229.04303303498727,230.7745957984131
2.494;231.20621480512276,229.1323746634488,230.808947527123
2.524;231.28203991911326,229.2517499500699,230.88712657279808
2.554;231.34514410896173,229.38399680447372,230.9840887543154
2.584;231.40824829881024,229.51624365887756,231.08105093583268
2.614;231.4732779124136,229.6136485463833,231.18439186389068
2.644;231.54163325795727,229.6508718547014,231.29875062688254
2.674;231.6099886035009,229.68809516301948,231.4131093898744
2.704;231.67834394904457,229.72531847133757,231.52746815286625
2.734;231.48745333744424,229.4967479807294,231.3077381880225
