time;interpolated Pixel leftCheek
0;214.94101400670743,205.84237522193726,209.07318997829947
0.004;214.93295649378388,205.8343663828801,209.05898550107455
0.034;214.87252514685716,205.77430008995134,208.95245192188773
0.064;214.81209379993044,205.71423379702256,208.8459183427009
0.094;214.75166245300375,205.6541675040938,208.7393847635141
0.124;214.69123110607703,205.59410121116503,208.63285118432728
0.154;214.6307997591503,205.53403491823627,208.52631760514043
0.184;214.5703684122236,205.4739686253075,208.41978402595362
0.214;214.5099370652969,205.41390233237874,208.3132504467668
0.244;214.44950571837018,205.35383603945,208.20671686757998
0.274;214.38907437144346,205.2937697465212,208.10018328839317
0.304;214.32864302451674,205.23370345359245,207.99364970920632
0.334;214.26821167759005,205.17363716066367,207.8871161300195
0.364;214.20778033066333,205.11357086773492,207.7805825508327
0.394;214.1473489837366,205.05350457480614,207.67404897164587
0.424;214.0869176368099,204.9934382818774,207.56751539245906
0.454;213.92292183516835,204.83665786984017,207.4059115943345
0.484;213.68988306371696,204.6154013783973,207.20759431691812
0.514;213.45684429226554,204.39414488695442,207.00927703950177
0.544;213.22380552081412,204.17288839551156,206.8109597620854
0.574;213.05510173040264,204.0065382876171,206.66663346036688
0.604;213.20807284519088,204.11472009746475,206.79226203713773
0.634;213.36104395997913,204.2229019073124,206.9178906139086
0.664;213.51401507476737,204.33108371716003,207.04351919067946
0.694;213.35229816291022,204.08307227570359,206.81215123108308
0.724;213.11190924439168,203.7460125214211,206.49153413739492
0.754;212.87152032587315,203.40895276713863,206.17091704370674
0.784;212.63113140735462,203.07189301285615,205.85029995001858
0.814;212.53936790679364,202.92373435671956,205.72591744395717
0.844;212.93594506523607,203.396250737348,206.24630572581236
0.874;213.33252222367847,203.8687671179764,206.76669400766755
0.904;213.72909938212086,204.34128349860484,207.28708228952271
0.934;213.77251866668544,204.30624317451816,207.30597107181958
0.964;213.68751690620354,204.0866367759896,207.1424963997316
0.994;213.6025151457216,203.86703037746108,206.97902172764364
1.024;213.55693668869588,203.77373823628642,206.91035852797413
1.054;213.60334593973462,203.9751793622708,207.06292209728102
1.084;213.64975519077336,204.17662048825522,207.21548566658788
1.114;213.69616444181207,204.3780616142396,207.36804923589477
1.144;213.83075794319316,204.48507562134716,207.44751520569162
1.174;213.9716503195987,204.58534483424924,207.52175991838058
1.204;214.11254269600423,204.6856140471513,207.59600463106958
