time;interpolated Pixel rightCheek
0;170.19491046182847,166.41828463713478,168.088972667295
0.004;170.20373733873177,166.42928283334106,168.09700396918035
0.034;170.26993891550654,166.51176930488825,168.15723873332058
0.064;170.33614049228134,166.59425577643543,168.2174734974608
0.094;170.40234206905612,166.67674224798265,168.277708261601
0.124;170.4685436458309,166.75922871952983,168.3379430257412
0.154;170.53474522260566,166.84171519107701,168.39817778988143
0.184;170.60094679938047,166.9242016626242,168.45841255402163
0.214;170.66714837615524,167.00668813417138,168.51864731816184
0.244;170.73334995293,167.0891746057186,168.57888208230204
0.274;170.7995515297048,167.17166107726578,168.63911684644228
0.304;170.8657531064796,167.25414754881297,168.69935161058248
0.334;170.93195468325436,167.33663402036015,168.7595863747227
0.364;170.99815626002913,167.41912049190734,168.81982113886292
0.394;171.0643578368039,167.50160696345452,168.88005590300313
0.424;171.1305594135787,167.58409343500173,168.94029066714333
0.454;171.47565892960577,167.93733508649137,169.27133855373745
0.484;172.00669040513438,168.47108019127597,169.7829285219675
0.514;172.537721880663,169.00482529606057,170.29451849019756
0.544;173.06875335619162,169.53857040084517,170.80610845842762
0.574;173.4552502125027,169.92383613620757,171.17318056881876
0.604;173.11907397272614,169.56670502445888,170.81766339001535
0.634;172.78289773294958,169.2095739127102,170.46214621121194
0.664;172.44672149317304,168.8524428009615,170.1066290324085
0.694;172.56307882206605,169.01458008695084,170.28413103588198
0.724;172.79256954312643,169.30653447237466,170.59488783492466
0.754;173.02206026418685,169.59848885779851,170.90564463396734
0.784;173.25155098524723,169.89044324322234,171.21640143301002
0.814;172.59575220963737,169.2689260586973,170.58958189916717
0.844;169.03114508782514,165.64600228719746,166.88215441441466
0.874;165.4665379660129,162.02307851569762,163.17472692966217
0.904;161.90193084420068,158.40015474419778,159.46729944490968
0.934;161.72405876860222,158.232947180577,159.28720449024252
0.964;162.7777267098088,159.32236369254866,160.38977591015185
0.994;163.83139465101536,160.4117802045203,161.49234733006116
1.024;164.4299928920804,161.0101418602332,162.10347797150905
1.054;163.9667618328152,160.46270885134243,161.56791346321356
1.084;163.50353077355,159.91527584245165,161.0323489549181
1.114;163.0402997142848,159.36784283356087,160.4967844466226
1.144;162.1732366708542,158.50985924148026,159.59917119438444
1.174;161.27732848569752,157.62969346488612,158.6756973175789
1.204;160.38142030054084,156.74952768829195,157.7522234407734
1.234;160.66652613351675,157.03377027277983,158.02223942819407
1.264;161.85476033329994,158.20844278044808,159.2049241353171
1.294;163.04299453308312,159.38311528811636,160.38760884244013
1.324;163.61290360017003,159.9481113707605,160.96936422062532
1.354;162.15117294554054,158.50988491403973,159.57663751801482
1.384;160.68944229091107,157.07165845731896,158.18391081540432
1.414;159.22771163628158,155.63343200059816,156.7911841127938
1.444;157.7659809816521,154.1952055438774,155.39845741018328
1.474;158.71933630312367,155.1011499994738,156.33912631532996
1.504;160.4077177912347,156.72053777621022,157.9899591010984
1.534;162.09609927934574,158.33992555294662,159.64079188686688
1.564;163.78448076745676,159.95931332968306,161.29162467263532
1.594;165.24420551347944,161.387896619563,162.72874825278313
1.624;166.24661677532538,162.43487093573012,163.7384534216897
1.654;167.2490280371713,163.4818452518972,164.7481585905963
1.684;168.25143929901725,164.52881956806428,165.75786375950287
1.714;168.18058389126747,164.40235194390968,165.60080170110055
1.744;168.0330665785466,164.19206703830352,165.36039912646189
1.774;167.8855492658257,163.98178213269733,165.11999655182322
1.804;166.99039244895863,163.05347385369996,164.21755007882393
1.834;165.24079048449596,161.304567433684,162.55848200769822
1.864;164.50411416565402,160.55733077346204,161.8859566893474
1.894;166.55298337226907,162.56468595267353,163.9264239411275
1.924;168.60185257888412,164.572041131885,165.9668911929076
1.954;170.65072178549914,166.57939631109647,168.0073584446877
1.984;170.51758761970444,166.5301650479948,167.9312240737054
2.014;169.83895261080727,165.96678717431485,167.32593929703253
2.044;169.16031760191012,165.4034093006349,166.72065452035963
2.074;168.7877351871133,165.09291908326713,166.36467853934997
2.104;168.874231663467,165.16176035036764,166.38266575183522
2.134;168.96072813982067,165.23060161746815,166.40065296432044
2.164;169.04910389177653,165.30512297456576,166.43111600741727
2.194;169.16378950216273,165.45916559162285,166.6362406790769
2.224;169.2784751125489,165.61320820867994,166.84136535073654
2.254;169.105391024243,165.3930257761832,166.64020854463772
2.284;168.76570342616805,164.95618673605006,166.20383614615244
2.314;168.42601582809306,164.5193476959169,165.76746374766716
2.344;168.08632823001807,164.08250865578376,165.3310913491819
2.374;167.84941462143723,163.76646652589562,165.01776173566242
2.404;168.1263709603272,164.05440894723253,165.31964604697205
2.434;168.40332729921715,164.34235136856944,165.6215303582817
2.464;168.6802836381071,164.63029378990637,165.92341466959132
2.494;168.95723997699707,164.91823621124328,166.22529898090093
2.524;169.73817793674687,165.7305262841591,167.02797143840218
2.554;170.73510801972225,166.7675367791802,168.04526738712835
2.584;171.73203810269766,167.8045472742013,169.06256333585455
2.614;172.8616019785371,168.94302310317553,170.2283055435298
2.644;174.22026058750538,170.25675723625062,171.65045492575354
2.674;175.57891919647366,171.57049136932574,173.07260430797723
2.704;176.93757780544195,172.88422550240085,174.49475369020095
2.734;175.94001761901643,171.91714219823575,173.4643661667676
2.764;174.94245743259094,170.95005889407068,172.43397864333426
2.794;173.94489724616543,169.98297558990558,171.4035911199009
2.824;174.3664622267495,170.38295540927888,171.83754523436437
2.854;175.6096259882338,171.57439282649017,173.11927608655756
2.884;176.85278974971814,172.76583024370143,174.40100693875075
2.914;178.09595351120245,173.95726766091272,175.68273779094395
2.944;179.3391172726868,175.148705078124,176.96446864313714
2.974;179.68065862684432,175.52952171095959,177.32009035447948
3.004;179.33272402245785,175.2904518616255,176.96751095811234
3.034;178.9847894180714,175.05138201229144,176.6149315617452
3.064;178.36840267944922,174.5233384484153,175.98291127188747
3.094;176.4097552696485,172.55042631182894,173.95368651457687
3.124;174.45110785984784,170.57751417524256,171.92446175726624
3.154;172.49246045004713,168.6046020386562,169.8952369999556
3.184;171.41950838507947,167.56990010801042,168.8314013146312
3.214;170.56798015632003,166.76975072884983,168.0089128973033
3.244;169.7164519275606,165.9696013496892,167.18642447997541
3.274;169.27196472147708,165.52950595281834,166.7275651261613
3.304;169.4380390494074,165.62949152938208,166.81414936761774
3.334;169.6041133773377,165.7294771059458,166.90073360907422
3.364;169.77018770526803,165.82946268250953,166.9873178505307
3.394;169.4526282208595,165.53547898592598,166.67633582097264
3.424;169.03834197398322,165.16270143471297,166.28584053721164
3.454;168.62405572710693,164.78992388349997,165.89534525345064
3.484;168.20976948023065,164.41714633228696,165.50484996968964
3.514;168.1116577630024,164.30920069238223,165.39969817348222
3.544;168.48780784024618,164.5985029194399,165.72256160860516
3.574;168.86395791748996,164.8878051464976,166.04542504372813
3.604;169.2401079947337,165.1771073735553,166.36828847885107
3.634;169.64271586119546,165.55471676234583,166.78398469112327
3.664;170.04721356974417,165.93863380554586,167.20631181604895
3.694;170.45171127829292,166.32255084874586,167.62863894097467
