time;Pixel forehead
0;229.98076923076923,227.88238866396762,229.57834008097166
0.436;230.66546329723226,228.4697152025672,230.04833533894904
0.569;230.70517928286853,228.55199203187252,229.98864541832668
0.67;230.8702487562189,228.65651741293533,230.33512437810944
0.807;230.40680354267312,227.9891304347826,229.73611111111111
0.912;229.1662368577663,226.82701844872048,228.49553659988098
1.015;229.23236514522821,226.60719225449515,228.67081604426002
1.116;229.5104644209687,226.85947777556308,228.87024117998803
1.217;229.15590111642743,226.59908293460924,228.62460127591706
1.317;229.238333667134,226.9575405567795,228.85479671540156
1.451;229.5347498014297,227.20353455123114,229.05043685464653
1.584;228.9312693498452,226.71455108359132,228.39318885448915
1.686;229.6587783171521,227.55056634304208,229.03600323624596
1.79;229.51173139158576,227.45206310679612,229.01820388349515
1.856;230.27098558167094,228.44775824609914,230.17815524392654
1.96;230.79042153176331,228.6647536117158,230.35206807836929
2.062;231.05161544523247,228.9239558707644,230.56422379826634
2.162;230.87798147053024,228.91819436231026,230.4943820224719
2.235;230.89609880415605,228.97431876102726,230.60733189570672
2.369;230.7666011787819,228.76011787819255,230.66581532416504
2.503;231.2378669862193,229.15917715198722,230.81925304573596
2.603;231.44821428571427,229.6,231.14246031746032
2.704;231.67834394904457,229.72531847133757,231.52746815286625
2.805;231.0356788899901,228.9557978196234,230.78771060455898
2.957;231.13916500994037,229.22226640159045,230.77335984095427
3.059;231.1509026687598,229.1844583987441,230.8526295133438
3.16;230.65058823529412,228.5713725490196,230.22019607843137
3.262;230.8042192429022,228.875,230.53332018927443
3.369;231.2185628742515,229.32275449101797,231.03333333333333
3.502;231.21520490991884,229.27143139972281,231.1573945753316
3.606;231.03350618268848,229.1862784204228,231.0584363781412
3.744;231.3623389494549,229.7215064420218,231.55104063429138
3.881;231.151262174518,229.11449016100178,231.00874577618762
3.986;231.41722905915046,229.56927352123859,231.25803890432712
4.12;231.0784630940344,229.02871587462081,230.78483316481294
4.191;231.4849879903923,229.70696557245796,231.28442754203363
4.326;231.2541778419641,229.32700639570868,231.04538890035073
4.47;231.5035780004089,229.55510120629728,231.37538335718668
4.571;231.07564915150277,229.33571866693927,231.03823349008383
4.639;231.0860392967942,228.9578076525336,230.85191313340226
4.74;231.14356929212363,229.1529411764706,231.38943170488534
4.886;230.9937888198758,229.06151071929472,230.8745742336205
4.987;230.99452443723382,229.03265057797606,230.95862908132224
5.088;231.23721304873138,229.51228352799035,231.49134111961337
5.189;231.15423285743012,229.30363965413233,231.20289563643675
5.29;231.1951515151515,229.45474747474748,231.1989898989899
5.395;230.93473005640612,229.1224818694601,231.13074133763095
5.563;230.97824773413896,229.14582074521653,230.97804632426988
5.663;231.0028208744711,229.1172677815837,231.21821478944187
5.764;231.1524537409493,229.26749798873692,231.2077634754626
5.866;230.77092241905925,229.0991651394828,230.7998371003869
5.965;230.68519649765832,228.86723681531257,230.7772347790674
6.1;231.14628687690742,229.57070193285858,231.39287894201425
6.202;231.3938900203666,229.6682281059063,231.45213849287168
6.303;231.54733848029255,229.74238114587567,231.59427062169848
6.44;232.43118712273642,230.74527162977867,232.6790744466801
6.507;231.67717003567182,230.03507728894175,231.89615537059058
6.624;231.8686483229564,229.89736894958827,231.99116288411327
6.727;231.93211488250654,230.09198634263907,232.271339626431
