time;Pixel leftCheek
0;214.94101400670743,205.84237522193726,209.07318997829947
0.436;214.06274509803922,204.96941176470588,207.52490196078432
0.569;213.0296065446046,203.98850798597584,206.6456953642384
0.67;213.54460929772503,204.35272007912957,207.06864490603363
0.807;212.44683323649042,202.81348053457293,205.6044935115243
0.912;213.83485329103885,204.4672878667724,207.42585249801743
1.015;213.54301391338427,203.7133058984911,206.86458945718206
1.116;213.69925839188133,204.39149102263858,207.37822014051523
1.217;214.1735960591133,204.72906403940885,207.62817733990147
1.317;214.58301008533746,205.26415826221879,208.21605896043445
1.451;214.85739644970414,205.65108481262328,208.62071005917159
1.584;214.77474008471313,205.58856372737773,208.94724682325761
1.686;214.93185419968304,205.39263074484944,208.78803486529318
1.79;214.98791600633913,205.64441362916006,208.62935816164818
1.856;214.6297437873242,205.05837025621267,208.27528414563668
1.96;212.2028653295129,203.08634192932186,205.79063992359121
2.062;212.73581213307241,203.54559686888453,206.1293542074364
2.162;212.67737003058105,203.32454128440367,205.9887232415902
2.235;213.04994237418364,203.88724548597773,206.45831732616213
2.369;213.5204081632653,204.60685406237968,207.06276472853293
2.503;213.33474007289468,204.41856896220986,206.78898906579704
2.603;213.40169949787563,204.05291618385476,206.88509076863653
2.704;213.5375845410628,203.82125603864733,206.9136231884058
2.805;214.29887944358578,204.78380989180835,207.8730680061824
2.957;211.5134619056712,202.11819744128317,204.7093755967157
3.059;211.76509161041466,202.23336547733848,204.63567984570878
3.16;212.60188933873144,203.20840562945827,205.54790823211877
3.262;213.62690600270219,204.37927041111755,206.9637135688091
3.369;214.28802153432034,205.17592770621033,207.7844645260527
3.502;214.18906041547552,204.76958261863922,207.56718124642654
3.606;213.96550402453047,204.68417018014566,207.44902261402837
3.744;213.56374807987712,204.2811059907834,206.87538402457758
3.881;212.8106452230519,203.3342906375646,206.20735209649627
3.986;212.39362108479756,202.92475171886937,205.47956455309395
4.12;212.60871233928228,203.5960468240261,206.08501247361352
4.191;212.52461266915083,203.3906648362424,205.82565208864483
4.326;212.27085736255287,203.01480199923105,205.39196462898886
4.47;213.62546964603519,204.29899149693495,206.82084239667788
4.571;213.4235712873245,203.98378485267946,206.8821435633775
4.639;213.09388942774007,203.69893307468476,206.59340446168767
4.74;212.73909672417136,203.3485171544873,206.02868773018028
