time;interpolated Pixel forehead
0;242.7095337873232,227.87951807228916,229.94578313253012
0.001;242.70892195307852,227.87873431414653,229.94489948079183
0.031;242.69056692573741,227.85522156986747,229.91838992864348
0.061;242.67221189839634,227.8317088255884,229.89188037649512
0.091;242.65385687105524,227.80819608130935,229.86537082434677
0.121;242.63550184371417,227.78468333703032,229.83886127219841
0.151;242.6171468163731,227.76117059275126,229.81235172005003
0.181;242.598791789032,227.7376578484722,229.78584216790168
0.211;242.58043676169092,227.71414510419314,229.75933261575332
0.241;242.56208173434982,227.69063235991408,229.73282306360497
0.271;242.54372670700874,227.66711961563502,229.70631351145659
0.301;242.52537167966764,227.64360687135598,229.67980395930823
0.331;242.50701665232657,227.62009412707692,229.65329440715988
0.361;242.4886616249855,227.59658138279786,229.62678485501152
0.391;242.4703065976444,227.5730686385188,229.60027530286314
0.421;242.45195157030332,227.54955589423975,229.57376575071478
0.451;242.43359654296222,227.5260431499607,229.54725619856643
0.481;242.41524151562115,227.50253040568165,229.52074664641808
0.511;242.39688648828005,227.4790176614026,229.4942370942697
0.541;242.37853146093897,227.45550491712353,229.46772754212134
0.571;242.3601764335979,227.43199217284447,229.44121798997298
0.601;242.3418214062568,227.4084794285654,229.41470843782463
0.631;242.32346637891573,227.38496668428638,229.38819888567627
0.661;242.30511135157462,227.36145394000732,229.3616893335279
0.691;242.28675632423355,227.33794119572826,229.33517978137954
0.721;242.26840129689245,227.3144284514492,229.30867022923118
0.751;242.25004626955138,227.29091570717014,229.28216067708283
0.781;242.2316912422103,227.2674029628911,229.25565112493445
0.811;242.2133362148692,227.24389021861205,229.2291415727861
0.841;242.19498118752813,227.220377474333,229.20263202063774
0.871;242.17662616018703,227.19686473005393,229.17612246848938
0.901;242.15827113284595,227.17335198577487,229.149612916341
0.931;242.13991610550488,227.1498392414958,229.12310336419264
0.961;242.12156107816378,227.12632649721678,229.0965938120443
0.991;242.1032060508227,227.10281375293772,229.07008425989594
1.021;242.0848510234816,227.07930100865866,229.04357470774758
1.051;242.06649599614053,227.0557882643796,229.0170651555992
1.081;242.04814096879943,227.03227552010054,228.99055560345084
1.111;242.02978594145836,227.00876277582148,228.9640460513025
1.141;242.01143091411728,226.98525003154245,228.93753649915413
1.171;241.99307588677618,226.9617372872634,228.91102694700575
1.201;241.9747208594351,226.93822454298433,228.8845173948574
1.231;241.956365832094,226.91471179870527,228.85800784270904
1.261;241.93801080475293,226.8911990544262,228.8314982905607
1.291;241.91965577741183,226.86768631014718,228.8049887384123
1.321;241.90130075007076,226.84417356586812,228.77847918626395
1.351;241.8829457227297,226.82066082158906,228.7519696341156
1.381;241.86459069538859,226.79714807731,228.72546008196724
1.411;241.8462356680475,226.77363533303094,228.69895052981886
1.441;241.8278806407064,226.75012258875188,228.6724409776705
1.471;241.80952561336534,226.72660984447285,228.64593142552215
1.501;241.79117058602424,226.7030971001938,228.6194218733738
1.531;241.77281555868316,226.67958435591473,228.59291232122544
1.561;241.7544605313421,226.65607161163567,228.56640276907706
1.591;241.736105504001,226.6325588673566,228.5398932169287
1.621;241.77683494014767,226.69635749130074,228.6130971414658
1.651;242.20161338896472,227.32768000869555,229.33443866445828
1.681;242.62639183778177,227.9590025260904,230.05578018745075
1.711;243.05117028659882,228.5903250434852,230.77712171044325
1.741;243.47594873541587,229.22164756088003,231.49846323343573
1.771;243.90072718423292,229.85297007827484,232.2198047564282
1.801;244.0736899981121,230.13203510716525,232.53324567335792
1.831;244.10086481281672,230.20716159007944,232.61053360783026
1.861;244.12803962752136,230.28228807299365,232.6878215423026
1.891;244.155214442226,230.35741455590784,232.76510947677494
1.921;244.18388055889122,230.43145400159733,232.84355749604873
1.951;244.25579443241315,230.47396936777108,232.95564797456484
1.981;244.3277083059351,230.51648473394482,233.06773845308095
2.011;244.39962217945703,230.55900010011854,233.1798289315971
2.041;244.47153605297896,230.60151546629228,233.2919194101132
2.071;244.5415832643259,230.65962275488494,233.40368943877803
2.101;244.59483051609786,230.8580573452478,233.5125754187812
2.131;244.6480777678698,231.05649193561067,233.62146139878436
2.161;244.70132501964176,231.25492652597353,233.73034737878754
2.191;244.7545722714137,231.45336111633637,233.83923335879072
2.221;244.69524636325627,231.41637188610758,233.76182829894483
2.251;244.5608716818126,231.22243344215102,233.56022921253296
2.281;244.42649700036893,231.02849499819445,233.35863012612108
2.311;244.3371965540704,230.8869606692934,233.2172106596862
2.341;244.371850254421,230.889537656795,233.24128514818807
2.371;244.4065039547716,230.8921146442966,233.26535963668996
2.401;244.44115765512223,230.89469163179822,233.28943412519186
2.431;244.4518447358078,230.841632114034,233.25306014881255
2.461;244.42113492798103,230.6924731780834,233.11227518763846
2.491;244.39042512015428,230.54331424213277,232.97149022646437
2.521;244.35971531232752,230.39415530618214,232.83070526529025
2.551;244.26084483276753,230.28001751967466,232.67713970842155
2.581;244.15148809601777,230.17126760231224,232.52160790606138
2.611;244.04213135926804,230.06251768494985,232.3660761037012
2.641;243.9309358916148,229.92852049517143,232.2064908807797
2.671;243.81545005185336,229.7356130030889,232.03744767654842
2.701;243.69996421209194,229.54270551100637,231.86840447231714
2.731;243.5844783723305,229.34979801892385,231.69936126808588
2.761;243.46899253256905,229.15689052684132,231.5303180638546
2.791;243.41713901501515,229.0655147051946,231.43852126341412
2.821;243.37507508549317,228.98975914053798,231.35860852509532
2.851;243.3330111559712,228.9140035758814,231.2786957867765
2.881;243.29094722644922,228.83824801122478,231.1987830484577
2.911;243.28281594273807,228.8252982637987,231.17670600346267
2.941;243.49524685679722,229.22058632837096,231.5305609650721
2.971;243.7076777708564,229.61587439294323,231.88441592668158
3.001;243.92010868491556,230.0111624575155,232.23827088829105
3.031;244.32522251106354,230.6955629055425,232.97921824121198
3.061;244.95054537959876,231.7103775060892,234.16255689848887
3.091;245.57586824813396,232.72519210663592,235.3458955557658
3.121;246.13299041745395,233.635985566632,236.4000463515832
3.151;246.07630629383684,233.6105887616724,236.29150639426527
3.181;246.01962217021975,233.58519195671278,236.18296643694737
3.211;245.96293804660266,233.55979515175315,236.07442647962944
3.241;245.90625392298557,233.53439834679355,235.96588652231154
3.271;245.84956979936845,233.50900154183392,235.8573465649936
3.301;245.7281598586893,233.32309701787653,235.65137807749304
3.331;245.55725370496273,233.0144512970385,235.37090541985282
3.361;245.38634755123613,232.70580557620048,235.0904327622126
3.391;245.21544139750955,232.39715985536242,234.80996010457235
3.421;245.04453524378295,232.0885141345244,234.52948744693214
3.451;244.87362909005634,231.77986841368636,234.2490147892919
3.481;244.70272293632976,231.47122269284833,233.96854213165167
3.511;244.8577176395967,231.68533512244,234.26405105753338
3.541;245.0628509362473,231.97987188286697,234.64817253472614
3.571;245.26798423289785,232.27440864329398,235.03229401191894
3.601;245.4731175295484,232.568945403721,235.41641548911173
3.631;245.55875883978788,232.6758389682558,235.55147176023885
3.661;245.4054161772051,232.40744614100623,235.1883976192347
3.691;245.25207351462234,232.13905331375668,234.8253234782306
3.721;245.09873085203955,231.8706604865071,234.46224933722644
3.751;245.14843621610316,231.9449846824183,234.56259282554387
3.781;245.21264501064152,232.04378866569814,234.69603757309855
3.811;245.27685380517988,232.14259264897797,234.82948232065323
3.841;245.2167265429927,232.0191848306227,234.70198132326615
3.871;245.01450093026205,231.64182066754154,234.27625661737423
3.901;244.8122753175314,231.26445650446038,233.85053191148234
3.931;244.61004970480076,230.88709234137923,233.4248072055904
3.961;244.40782409207011,230.50972817829808,232.9990824996985
3.991;244.63698062396583,230.79898352310335,233.3362651166824
4.021;244.88101240222795,231.11122574749095,233.69975488273099
4.051;245.12504418049008,231.42346797187852,234.06324464877954
4.081;245.21645642201835,231.66308295107035,234.3292240061162
4.111;245.19115960604424,231.84715944864183,234.5206365803202
4.141;245.16586279007015,232.03123594621337,234.71204915452418
4.171;245.17850405778444,232.2353525445665,234.91955566749908
4.201;245.3808357439407,232.53966964682783,235.20753187432854
4.231;245.58316743009695,232.84398674908917,235.495508081158
4.261;245.78549911625322,233.14830385135048,235.78348428798742
4.291;245.98783080240946,233.4526209536118,236.07146049481688
4.321;245.8756700068001,233.2893935952143,235.85887520065626
4.351;245.6491483087305,232.9561500693045,235.46426754249924
4.381;245.4226266106609,232.6229065433947,235.06965988434226
4.411;245.1961049125913,232.28966301748486,234.67505222618524
4.441;244.9695832145217,231.95641949157505,234.28044456802826
4.471;244.7430615164521,231.62317596566524,233.88583690987124
4.501;244.74220609843582,231.57314093414496,233.82857394336614
4.531;244.74135068041954,231.52310590262468,233.77131097686106
4.561;244.74049526240324,231.4730708711044,233.71404801035595
4.591;244.73963984438697,231.42303583958412,233.65678504385087
4.621;244.7387844263707,231.37300080806384,233.59952207734577
4.651;244.73792900835443,231.32296577654355,233.54225911084066
4.681;244.73707359033816,231.27293074502327,233.48499614433558
4.711;244.69621356733697,231.2329565469227,233.43924763765222
4.741;244.6247617875826,231.20067592731957,233.4023043061266
4.771;244.55331000782826,231.16839530771642,233.36536097460103
4.801;244.48185822807392,231.13611468811328,233.32841764307545
4.831;244.5679946874645,231.27020297918656,233.4974856478617
4.861;244.65956522406702,231.4100281292487,233.6736574918311
4.891;244.7511357606695,231.5498532793108,233.84982933580054
4.921;244.74336434081619,231.48967695320854,233.7920170108984
4.951;244.65962554249666,231.2765583218041,233.55527561568272
4.981;244.5758867441771,231.06343969039963,233.31853422046703
5.011;244.5147920927062,230.90088616223588,233.13144171779143
5.041;244.54427402862984,230.94059304703478,233.1429447852761
5.071;244.5737559645535,230.98029993183368,233.15444785276074
5.101;244.60323790047715,231.0200068166326,233.16595092024542
5.131;245.01174433836565,231.72408172226903,233.8855310676504
5.161;245.67293377756405,232.87106864179722,235.07716260166893
5.191;246.33412321676244,234.01805556132538,236.26879413568747
5.221;246.73682270499364,234.7415690864634,237.0201461989892
5.251;246.29019806861845,234.07367003003372,236.32486571565013
5.281;245.84357343224326,233.4057709736041,235.62958523231106
5.311;245.39694879586807,232.73787191717443,234.93430474897198
5.341;245.21266228263246,232.37940936721918,234.61388283729076
5.371;245.10821780687414,232.11512314532138,234.40754831698368
5.401;245.00377333111578,231.85083692342357,234.2012137966766
5.431;244.89932885535745,231.5865507015258,233.99487927636952
5.461;244.79488437959913,231.322264479628,233.78854475606244
5.491;244.61485637290912,230.99176355024264,233.46021214231683
5.521;244.1864824788721,230.44370001054108,232.73102865013036
5.551;243.7581085848351,229.89563647083952,232.0018451579439
5.581;243.3297346907981,229.34757293113793,231.27266166575745
5.611;242.90136079676108,228.79950939143637,230.543478173571
5.641;242.4856345450242,228.26626775566987,229.8351732488506
5.671;242.4366899199902,228.1628613340197,229.73234678064566
5.701;242.38774529495618,228.05945491236952,229.62952031244072
5.731;242.33880066992216,227.95604849071935,229.52669384423578
5.761;242.28985604488818,227.8526420690692,229.42386737603084
5.791;242.33591697936777,227.9174864031126,229.50346571586817
5.821;242.64324320250984,228.44502031531337,230.08473227782187
5.851;242.9505694256519,228.97255422751414,230.66599883977554
5.881;243.25789564879395,229.5000881397149,231.2472654017292
5.911;243.56522187193602,230.02762205191567,231.82853196368288
5.941;243.63120634149305,230.14486424102535,232.0108242726113
5.971;243.63685537265383,230.15953349936223,232.09337301828342
6.001;243.64250440381463,230.1742027576991,232.17592176395556
6.031;243.710140392457,230.2769935821473,232.35504970004075
6.061;243.8588362485753,230.49502030074106,232.66047350051227
6.091;243.99395281272183,230.67760352404372,232.92507758128608
6.121;243.93895928926358,230.3639778132707,232.61820558629168
6.151;243.88396576580533,230.05035210249767,232.31133359129728
6.181;243.82897224234708,229.73672639172466,232.0044615963029
6.211;243.77397871888883,229.42310068095165,231.6975896013085
6.241;243.5907851349218,229.04004945459073,231.27566299774148
6.271;243.30955621056572,228.60390812807438,230.7657534582072
6.301;243.02832728620962,228.167766801558,230.25584391867292
6.331;242.81571529022327,227.8432954862961,229.87968612969837
6.361;242.94618793608552,228.07717422730656,230.17228709352267
6.391;243.07666058194775,228.31105296831697,230.46488805734694
6.421;243.20713322781,228.54493170932741,230.7574890211712
6.451;243.67583915999592,229.29839533643985,231.60885617017541
6.481;244.22910341376274,230.1817551850778,232.5999148654746
6.511;244.7823676675296,231.06511503371576,233.5909735607738
6.541;245.04071035870902,231.4836976124042,234.05183253543268
6.571;244.7896430781466,231.09948308845267,233.59689199262192
6.601;244.53857579758417,230.71526856450112,233.1419514498112
6.631;244.28750851702176,230.3310540405496,232.68701090700046
6.661;244.03644123645932,229.94683951659806,232.2320703641897
6.691;243.95579512943968,229.79321924499337,232.1701643290768
6.721;243.9013676645035,229.6750750122113,232.16872514130208
6.751;243.7502411007257,229.42512900151448,231.9067362268114
6.781;243.53464847105343,229.0873151388745,231.47104749451012
6.811;243.607952580164,229.25288145211454,231.5938699958252
6.841;244.11460179744887,230.17351802917457,232.55445934756483
6.871;244.6212510147337,231.09415460623464,233.51504869930446
6.901;245.12790023201856,232.01479118329468,234.4756380510441
6.931;244.94603108267236,231.7323867867872,234.1342330772017
6.961;244.7641619333262,231.4499823902797,233.79282810335934
6.991;244.58229278398,231.16757799377223,233.45142312951697
7.021;244.44028497692585,230.89723935395008,233.17551099172903
7.051;244.3912869685531,230.65505414639372,233.05241547140142
7.081;244.34228896018035,230.41286893883733,232.9293199510738
7.111;244.2932909518076,230.17068373128097,232.8062244307462
7.141;244.32503193511056,230.19144134380988,232.80089180847827
7.171;244.3913753434174,230.32488873637533,232.84602899966455
7.201;244.45771875172423,230.4583361289408,232.8911661908508
7.231;244.51555714202576,230.5948859290636,233.00314035975555
7.261;244.55638549631664,230.73764054430114,233.24878848409728
7.291;244.59721385060755,230.8803951595387,233.49443660843903
7.321;244.63804220489843,231.02314977477621,233.74008473278076
7.351;244.6593369703973,231.02347116572543,233.74052464152692
7.381;244.67995816386886,231.01888106618193,233.7325090945629
7.411;244.7005793573404,231.0142909666384,233.72449354759888
7.441;244.72120055081194,231.00970086709492,233.71647800063485
