time;Pixel rightCheek
0;181.86628733997156,159.35372214319582,158.27572309151256
1.617;181.4299339691856,158.45977011494253,157.62680361946687
1.782;192.2336270540605,168.12336270540604,167.9509407001667
1.92;192.2702575005906,168.3491613512875,167.86888731396172
2.068;194.95549174443647,170.18999760708303,169.8413496051687
2.203;193.88116218147178,169.95879971421766,169.51940938318648
2.303;193.9420152091255,169.82153041825094,169.59672053231938
2.42;193.05750950570342,169.0259030418251,168.2300380228137
2.525;191.88228184674884,167.60140198211263,166.7836596567561
2.632;191.819534437245,168.0515958723302,167.47780177585793
2.765;191.2522305280926,166.86761514347722,166.3923318061249
2.907;194.4222169362512,169.75761179828734,168.85965746907706
3.017;197.8850630455868,172.89718719689623,172.2970417070805
3.118;194.52521903859815,170.04262372720814,169.33435946009945
3.284;192.87710158654986,169.17523087852237,167.8209803457258
3.485;194.43563869062268,170.54639428993354,170.153088850603
3.621;194.90412682435834,170.7083543029693,169.9592350276799
3.723;197.96615464722728,173.0356677948451,172.53996355115856
3.827;194.14328210213188,169.77268220128903,169.33192860684184
3.962;199.56293615921427,174.27138795554407,173.50607392090978
4.064;200.04040654437284,175.40629647992068,174.42340109072882
4.166;201.8621715418939,176.84729796727814,176.183936539415
4.299;202.29267068273091,177.66189759036143,176.86822289156626
4.471;200.69668606121934,176.3088793321528,175.26486213002784
4.694;196.40885684860967,172.61174047373842,171.35401647785787
4.802;188.02324966974902,165.04755614266844,162.78097754293262
4.904;199.49756493506493,175.00108225108224,174.24107142857142
5.005;201.015649867374,176.40583554376659,174.91697612732096
5.113;202.50981432360743,177.71140583554376,177.03580901856765
5.214;205.71781115879827,181.30928111587983,180.8462982832618
5.318;196.85138469975323,173.44666849465315,172.12092130518235
5.484;191.90129227385208,169.18174319494088,167.60049491339015
5.64;180.52527227031555,157.74783580005584,155.6819324211114
5.783;184.38539898132427,160.95415959252972,159.3203169213356
5.917;189.08927108927108,165.83401583401584,164.33251433251434
6.018;179.8132678132678,157.52552552552552,155.78978978978978
6.089;180.4164864864865,157.90324324324325,156.16378378378377
6.224;199.8190348525469,174.91474530831098,174.42037533512064
6.326;191.32963058641178,167.9814001549987,166.5877034358047
6.427;194.09379885356958,169.8910891089109,168.79181865554978
6.53;196.1061183041381,172.13607514597615,171.43234323432344
6.665;197.0367627611743,172.79132504628404,171.6487701666226
6.733;196.13038878603544,172.3438243850833,171.39169531869877
6.799;193.73063885267274,170.0936114732725,169.15697522816166
6.901;198.00488934637158,173.61451363870304,172.99305198147195
7.012;195.66257354822204,171.39038117165515,170.74571501662828
7.12;195.93351662084478,171.87378155461136,171.46963259185205
7.221;196.07760364004045,171.9954499494439,171.45854398382204
