Count;Frequencies leftCheek;Frequencies rightCheek;Frequencies forehead
30.245;74.21875;50.78125;50.78125
30.687;74.21875;50.78125;50.78125
31.197;74.21875;50.78125;50.78125
31.656;74.21875;50.78125;50.78125
32.146;74.21875;50.78125;50.78125
32.636;74.21875;50.78125;50.78125
33.083;74.21875;50.78125;50.78125
33.585;74.21875;50.78125;50.78125
34.063;70.3125;54.6875;50.78125
34.534;70.3125;54.6875;50.78125
35.017;70.3125;54.6875;62.5
35.509;70.3125;54.6875;62.5
35.988;70.3125;54.6875;62.5
36.509;70.3125;54.6875;62.5
36.93;70.3125;54.6875;62.5
37.455;70.3125;54.6875;62.5
37.892;70.3125;54.6875;62.5
38.419;70.3125;54.6875;62.5
38.867;46.875;54.6875;62.5
39.332;46.875;54.6875;66.40625
39.827;46.875;54.6875;66.40625
40.284;46.875;54.6875;66.40625
40.797;46.875;54.6875;66.40625
41.269;46.875;54.6875;66.40625
41.727;46.875;54.6875;66.40625
42.213;54.6875;54.6875;66.40625
42.686;54.6875;54.6875;66.40625
43.166;54.6875;54.6875;66.40625
43.674;54.6875;54.6875;66.40625
44.148;54.6875;54.6875;66.40625
44.622;54.6875;54.6875;66.40625
45.096;54.6875;54.6875;66.40625
45.584;54.6875;54.6875;66.40625
46.06;54.6875;54.6875;66.40625
46.565;54.6875;54.6875;66.40625
47.045;54.6875;54.6875;66.40625
47.523;54.6875;136.71875;66.40625
47.996;54.6875;136.71875;66.40625
48.5;54.6875;136.71875;66.40625
48.974;54.6875;136.71875;66.40625
49.421;46.875;136.71875;66.40625
49.886;46.875;136.71875;66.40625
50.393;46.875;136.71875;66.40625
50.852;46.875;136.71875;66.40625
51.324;46.875;136.71875;66.40625
51.818;54.6875;136.71875;66.40625
52.295;54.6875;136.71875;66.40625
52.779;54.6875;136.71875;46.875
53.266;54.6875;136.71875;46.875
53.737;54.6875;136.71875;46.875
54.27;54.6875;136.71875;46.875
54.693;54.6875;132.8125;46.875
55.193;54.6875;132.8125;46.875
55.677;54.6875;132.8125;46.875
56.135;54.6875;132.8125;46.875
56.623;54.6875;132.8125;82.03125
57.122;54.6875;132.8125;82.03125
57.598;54.6875;132.8125;82.03125
58.051;54.6875;132.8125;82.03125
58.56;54.6875;132.8125;82.03125
59.055;54.6875;132.8125;82.03125
59.55;54.6875;132.8125;82.03125
59.998;54.6875;132.8125;82.03125
60.46;54.6875;82.03125;82.03125
60.94;89.84375;82.03125;82.03125
61.45;89.84375;82.03125;82.03125
61.883;54.6875;82.03125;82.03125
62.375;54.6875;82.03125;82.03125
62.865;54.6875;82.03125;82.03125
63.356;82.03125;82.03125;82.03125
63.827;82.03125;74.21875;82.03125
