Count;Frequencies leftCheek;Frequencies rightCheek;Frequencies forehead
30.245;50.78125;74.21875;74.21875
30.687;50.78125;74.21875;74.21875
31.197;50.78125;74.21875;74.21875
31.656;50.78125;74.21875;74.21875
32.146;50.78125;74.21875;74.21875
32.636;50.78125;74.21875;74.21875
33.083;50.78125;74.21875;74.21875
33.585;50.78125;74.21875;74.21875
34.063;50.78125;74.21875;74.21875
34.534;50.78125;74.21875;74.21875
35.017;50.78125;74.21875;74.21875
35.509;50.78125;74.21875;74.21875
35.988;50.78125;74.21875;74.21875
36.509;50.78125;74.21875;74.21875
36.93;54.6875;74.21875;74.21875
37.455;54.6875;74.21875;74.21875
37.892;54.6875;74.21875;74.21875
38.419;54.6875;74.21875;74.21875
38.867;54.6875;74.21875;74.21875
39.332;54.6875;74.21875;74.21875
39.827;54.6875;74.21875;74.21875
40.284;54.6875;74.21875;74.21875
40.797;54.6875;74.21875;74.21875
41.269;54.6875;74.21875;74.21875
41.727;54.6875;74.21875;74.21875
42.213;54.0875;74.21875;74.21875
42.686;53.4875;74.21875;74.21875
43.166;52.8875;74.21875;74.21875
43.674;52.2875;74.21875;74.21875
44.148;51.6875;74.21875;74.21875
44.622;51.0875;74.21875;74.21875
45.096;50.4875;74.21875;74.21875
45.584;46.875;74.21875;74.21875
46.06;46.875;74.21875;74.21875
46.565;46.875;74.21875;74.21875
47.045;46.875;74.21875;74.21875
47.523;46.875;74.21875;74.21875
47.996;46.875;74.21875;74.21875
48.5;46.875;74.21875;74.21875
48.974;46.875;74.21875;74.21875
49.421;47.475;74.21875;74.21875
49.886;48.075;74.21875;74.21875
50.393;48.675;74.21875;74.21875
50.852;49.275;74.21875;74.21875
51.324;49.875;74.21875;74.21875
51.818;50.475;74.21875;74.21875
52.295;51.075;74.21875;74.21875
52.779;51.675;74.21875;74.21875
53.266;52.275;74.21875;74.21875
53.737;52.875;74.21875;74.21875
54.27;53.475;74.21875;74.21875
54.693;54.075;74.21875;74.21875
55.193;54.675;74.21875;74.21875
55.677;55.275;74.21875;74.21875
56.135;55.875;74.21875;74.21875
56.623;56.475;74.21875;74.21875
57.122;57.075;74.21875;74.21875
57.598;57.675;74.21875;74.21875
58.051;58.275;74.21875;74.21875
58.56;58.875;74.21875;74.21875
59.055;59.475;74.21875;74.21875
59.55;60.075;74.21875;74.21875
59.998;60.675;74.21875;74.21875
60.46;61.275;74.21875;74.21875
60.94;61.875;74.21875;74.21875
61.45;62.475;74.21875;74.21875
61.883;63.075;74.21875;74.21875
62.375;63.675;74.21875;74.21875
62.865;64.275;74.21875;74.21875
63.356;64.875;74.21875;74.21875
63.827;65.475;74.81875;74.21875
64.33;66.075;75.41875;74.81875
64.826;66.675;76.01875;75.41875
65.3;67.275;76.61875;76.01875
65.743;67.875;77.21875;76.61875
66.204;68.475;77.81875;77.21875
66.715;69.075;78.41875;77.81875
67.19;69.675;82.03125;78.41875
67.692;70.275;82.03125;82.03125
68.127;70.875;82.03125;82.03125
68.618;71.475;82.03125;82.03125
69.101;72.075;82.03125;82.03125
69.589;72.675;82.03125;82.03125
70.068;73.275;82.03125;82.03125
70.524;73.875;82.03125;82.03125
71.017;74.475;82.03125;82.03125
71.52;75.075;82.03125;82.03125
72.005;75.675;82.03125;82.03125
72.469;76.275;82.03125;82.03125
72.955;76.875;82.03125;82.03125
73.428;77.475;82.03125;82.03125
73.92;78.075;82.03125;82.03125
74.389;82.03125;82.03125;82.03125
74.843;82.03125;82.03125;82.03125
75.355;82.03125;82.03125;82.03125
75.807;82.03125;82.03125;82.03125
76.303;82.03125;82.03125;82.03125
76.775;82.03125;82.03125;82.03125
77.253;82.03125;82.03125;82.03125
77.742;82.03125;82.03125;82.03125
78.208;82.03125;82.03125;78.125
78.684;82.03125;82.03125;78.125
79.175;82.03125;82.03125;78.125
79.648;82.03125;82.03125;78.125
80.145;82.03125;82.03125;78.125
80.607;82.03125;82.03125;78.125
81.099;78.125;82.03125;78.125
81.593;78.125;82.03125;78.125
82.074;78.125;82.03125;78.125
82.535;78.125;82.03125;78.125
83.013;78.125;82.03125;78.125
83.504;78.125;82.03125;78.125
83.963;78.125;78.125;78.125
84.447;78.125;78.125;78.125
84.925;78.125;78.125;78.125
85.454;78.125;78.125;78.125
85.915;78.125;78.125;78.125
86.393;78.125;78.125;78.125
86.883;78.125;78.125;78.125
87.323;78.125;78.125;78.125
87.858;78.125;78.125;78.125
88.31;78.125;78.125;78.125
88.8;77.525;78.125;78.125
89.293;76.925;78.125;78.125
89.745;76.325;78.125;78.125
90.224;75.725;78.125;78.125
90.683;75.125;78.125;78.125
91.177;74.525;78.125;78.125
91.665;73.925;78.125;78.125
92.133;73.325;78.125;78.125
92.61;72.725;78.125;78.125
93.084;72.125;78.125;78.125
93.586;71.525;78.125;78.125
94.07;70.925;78.125;78.125
94.554;70.325;78.125;78.125
95.022;66.40625;78.125;78.125
95.508;66.40625;78.125;78.125
96.009;66.40625;78.125;78.125
96.451;66.40625;78.125;78.125
96.96;66.40625;77.525;82.03125
97.408;66.40625;76.925;82.03125
97.932;66.40625;76.325;82.03125
98.39;66.40625;75.725;82.03125
98.871;66.40625;75.125;82.03125
99.349;67.00625;74.525;82.03125
99.829;67.60625;73.925;82.03125
100.317;68.20625;73.325;82.03125
100.826;68.80625;72.725;82.03125
101.25;69.40625;72.125;82.03125
101.741;70.00625;71.525;82.03125
102.214;70.60625;70.925;82.03125
102.73;71.20625;71.525;82.03125
103.233;71.80625;72.125;82.03125
103.68;72.40625;72.725;82.03125
104.187;73.00625;73.325;82.03125
104.631;73.60625;73.925;82.03125
105.083;74.20625;74.525;82.03125
105.573;74.80625;75.125;82.03125
106.099;75.40625;75.725;82.03125
106.524;76.00625;76.325;82.03125
107.016;76.60625;76.925;82.03125
107.526;77.20625;77.525;82.03125
107.98;77.80625;78.125;82.03125
108.467;78.40625;82.03125;82.03125
108.943;82.03125;82.03125;82.03125
109.413;82.03125;82.03125;82.03125
109.896;82.03125;82.03125;82.03125
110.385;82.03125;82.03125;82.03125
110.845;82.03125;82.03125;82.03125
111.324;82.03125;82.03125;82.03125
111.827;82.03125;82.03125;82.03125
112.296;82.03125;82.03125;82.03125
112.824;82.03125;82.03125;82.03125
113.248;82.03125;82.03125;82.03125
113.727;82.03125;78.125;78.125
114.219;82.03125;78.125;78.125
114.704;82.03125;78.125;78.125
115.18;78.125;78.125;78.125
115.703;78.125;78.125;78.125
116.15;78.125;78.125;78.125
116.621;78.125;78.125;78.125
117.106;78.125;78.125;78.125
117.587;78.125;78.125;78.125
118.063;78.125;78.125;78.125
118.585;78.125;82.03125;78.125
119.014;78.125;82.03125;78.125
119.503;78.125;82.03125;78.125
119.989;78.125;82.03125;82.03125
120.45;78.125;82.03125;82.03125
120.93;78.125;82.03125;82.03125
121.474;78.125;82.03125;82.03125
121.91;78.125;82.03125;82.03125
122.366;78.125;82.03125;82.03125
122.875;78.125;82.03125;82.03125
123.349;78.125;82.03125;82.03125
123.825;78.125;82.03125;82.03125
124.293;78.725;82.03125;82.03125
124.768;79.325;82.03125;82.03125
125.263;79.925;82.03125;82.03125
125.754;80.525;82.03125;82.03125
126.224;81.125;82.03125;82.03125
126.711;80.525;82.03125;82.03125
127.177;79.925;82.03125;82.03125
127.66;79.325;82.03125;82.03125
128.126;78.725;82.03125;82.03125
128.607;79.325;82.03125;82.03125
129.127;79.925;82.03125;82.03125
129.57;80.525;82.03125;82.03125
130.072;81.125;82.03125;82.03125
130.529;81.725;82.03125;82.03125
131.025;82.325;82.03125;82.03125
131.504;82.925;82.03125;82.03125
131.992;83.525;82.03125;82.03125
132.443;84.125;82.03125;82.03125
132.952;84.725;85.9375;82.03125
133.414;85.325;85.9375;82.03125
133.938;85.925;85.9375;82.03125
134.366;86.525;85.9375;82.03125
134.845;87.125;85.9375;85.9375
135.334;87.725;85.9375;85.9375
135.821;88.325;85.9375;85.9375
136.309;88.925;85.9375;85.9375
136.794;89.525;85.3375;85.9375
137.264;90.125;84.7375;85.9375
137.752;89.525;84.1375;85.9375
138.222;88.925;83.5375;85.9375
138.747;88.325;82.9375;85.9375
139.194;87.725;82.3375;85.9375
139.648;87.125;81.7375;85.9375
140.198;86.525;81.1375;85.9375
140.646;85.925;80.5375;85.9375
141.097;85.325;79.9375;85.9375
141.614;84.725;79.3375;85.9375
142.066;84.125;78.7375;85.9375
142.56;83.525;79.3375;85.9375
143.005;82.925;79.9375;85.9375
143.541;82.325;80.5375;85.9375
143.976;81.725;81.1375;85.9375
144.462;81.125;81.7375;85.9375
144.98;80.525;82.3375;85.9375
145.438;79.925;85.9375;85.9375
145.89;79.325;85.9375;85.9375
146.369;78.725;85.9375;85.9375
146.848;78.125;85.9375;85.9375
147.334;74.21875;85.9375;85.9375
147.819;74.21875;85.9375;85.9375
148.305;74.21875;85.9375;85.9375
148.792;74.21875;85.9375;85.9375
149.243;74.21875;85.9375;85.9375
149.74;74.21875;85.9375;85.9375
150.225;74.21875;85.9375;85.9375
150.712;74.21875;85.9375;85.9375
151.207;74.81875;85.9375;85.9375
151.69;75.41875;85.9375;85.9375
152.159;76.01875;85.9375;85.9375
152.642;76.61875;85.9375;85.9375
153.124;77.21875;85.9375;85.9375
153.576;77.81875;85.9375;85.9375
154.056;78.41875;85.9375;85.9375
154.541;82.03125;85.9375;85.9375
155.005;82.03125;85.9375;85.9375
155.51;82.03125;85.9375;85.9375
156.018;82.03125;85.9375;85.9375
156.476;82.03125;85.9375;85.9375
156.949;82.03125;85.9375;85.9375
157.429;82.03125;85.9375;85.9375
157.956;82.03125;85.9375;85.9375
158.396;82.03125;85.9375;85.9375
158.893;82.03125;85.9375;85.9375
159.354;82.03125;85.9375;85.9375
159.833;82.03125;85.9375;82.03125
160.315;82.03125;85.9375;82.03125
160.809;82.03125;85.9375;82.03125
161.288;82.03125;85.9375;82.03125
161.757;82.03125;82.03125;82.03125
162.247;82.03125;82.03125;82.03125
162.704;82.03125;82.03125;82.03125
163.218;82.03125;82.03125;82.03125
163.662;82.03125;82.03125;82.03125
164.137;82.03125;82.03125;82.03125
164.621;82.03125;82.03125;82.03125
165.112;82.03125;82.03125;82.03125
165.603;82.03125;82.03125;82.03125
166.071;82.03125;82.03125;82.03125
166.553;82.03125;82.03125;82.03125
167.044;82.03125;82.03125;82.03125
167.545;82.03125;82.03125;82.03125
167.996;82.03125;82.03125;82.03125
168.447;82.03125;82.03125;82.03125
168.954;82.03125;82.03125;82.03125
169.409;82.03125;82.03125;82.03125
169.886;81.43125;82.03125;82.03125
170.369;80.83125;82.03125;82.03125
170.895;80.23125;82.03125;82.03125
171.328;79.63125;82.03125;82.03125
171.813;79.03125;82.03125;82.03125
172.338;78.43125;82.03125;82.03125
172.787;77.83125;82.03125;82.03125
173.265;77.23125;82.03125;82.03125
173.795;76.63125;82.03125;82.03125
174.207;76.03125;82.03125;82.03125
174.707;75.43125;82.03125;82.03125
175.189;74.83125;82.03125;82.03125
175.658;74.23125;82.03125;82.03125
176.162;73.63125;82.03125;82.03125
176.664;73.03125;82.03125;82.03125
177.117;72.43125;82.03125;82.03125
177.596;71.83125;82.03125;82.03125
178.054;71.23125;82.03125;82.03125
178.549;70.63125;82.03125;82.03125
179.039;70.03125;82.03125;82.03125
179.498;69.43125;82.03125;82.03125
179.975;68.83125;82.03125;82.03125
