time;interpolated Pixel forehead
0;214.41571018651362
0.023;214.4178190912209
0.053;214.4205698364913
0.083;214.4233205817617
0.113;214.42607132703205
0.143;214.42882207230244
0.173;214.43157281757283
0.203;214.43432356284322
0.233;214.43707430811358
0.263;214.43982505338397
0.293;214.44257579865436
0.323;214.44532654392472
0.353;214.4480772891951
0.383;214.4508280344655
0.413;214.4535787797359
0.443;214.45632952500625
0.473;214.45908027027664
0.503;214.46183101554703
0.533;214.46458176081742
0.563;214.46733250608779
0.593;214.47008325135818
0.623;214.47283399662857
0.653;214.47558474189893
0.683;214.47833548716932
0.713;214.4810862324397
0.743;214.4838369777101
0.773;214.48658772298046
0.803;214.48933846825085
0.833;214.49208921352124
0.863;214.4948399587916
0.893;214.497590704062
0.923;214.50034144933238
0.953;214.50309219460277
0.983;214.5046918211513
1.013;214.50541118044197
1.043;214.47839636052268
1.073;214.39591318218353
1.103;214.3062797898619
1.133;214.15229447169747
1.163;213.99830915353306
1.193;213.9430515285063
1.223;213.9029827793469
1.253;213.8715668034608
1.283;213.85745637412137
1.313;213.86672471745845
1.343;214.0864020148843
1.373;214.30607931231015
1.403;214.32804704205273
1.433;214.32804704205273
1.463;214.32888100219654
1.493;214.36881068775145
1.523;214.44735327968687
1.553;214.50233309404163
1.583;214.50233309404163
1.613;214.5056573326429
1.643;214.55552091166203
1.673;214.60538449068113
1.703;214.42256382438424
1.733;214.18157209675834
1.763;214.12248113660723
1.793;214.2024907633486
1.823;214.2550654927063
1.853;214.25277042729672
1.883;214.25062836624775
1.913;214.25062836624775
1.943;214.25062836624775
1.973;214.40377225322396
2.003;214.47115556349348
2.033;214.47115556349348
2.063;214.52497380928898
2.093;214.6491697611247
2.123;214.74901865048457
2.153;214.75147928994082
2.183;214.7529735222043
2.213;214.64415884927826
2.243;214.50776695005484
2.273;214.37137505083146
2.303;214.38834513027373
2.333;214.54225520942663
2.363;214.5247400501972
2.393;214.5247400501972
2.423;214.5247400501972
2.453;214.4007323069942
2.483;214.36087267525036
2.513;214.33344230289083
2.543;214.2826899128269
2.573;214.2506671410781
2.603;214.295236311291
2.633;214.33980548150387
2.663;214.29537961147744
2.693;214.22386829442166
2.723;214.16915195881893
2.753;214.14344513663514
2.783;214.11773831445134
2.813;214.13997860199714
2.843;214.20417261055636
2.873;214.2576986512917
2.903;214.2927982021494
2.933;214.33602779169428
2.963;214.43210263270524
2.993;214.5281774737162
3.023;214.5777343589202
3.053;214.62212258236787
3.083;214.6369186568504
3.113;214.6369186568504
3.143;214.66280387476291
3.173;214.7005597914481
3.203;214.69698675750266
3.233;214.6868333084932
3.263;214.5845540485873
3.293;214.48227478868142
3.323;214.44414603128746
3.353;214.3891246499351
3.383;214.3213649580995
3.413;214.37572734378853
3.443;214.50501432664757
3.473;214.48051676630803
3.503;214.2355411629128
3.533;214.1803520371694
3.563;214.18999235338978
3.593;214.2183792648493
3.623;214.21834582975694
3.653;214.18583199860535
3.683;214.15331816745376
3.713;214.14681540122345
3.743;214.14681540122345
3.773;214.16190247914972
3.803;214.17698955707598
3.833;214.17698955707598
3.863;214.19372365438792
3.893;214.29412823825965
3.923;214.39453282213137
3.953;214.44237761064844
3.983;214.46746792500687
4.013;214.48276563589863
4.043;214.53636144135527
4.073;214.6098696461825
4.103;214.4521835766204
4.133;214.29449750705834
4.163;214.20252932645926
4.193;214.18757898537643
4.223;214.01502868792906
4.253;213.80669862614988
4.283;213.85356628242076
4.313;213.85356628242076
4.343;213.58364355802394
4.373;213.30441315347548
4.403;213.23925939241417
4.433;213.2625942516947
4.463;213.27805319341414
4.493;213.27012846028586
4.523;213.2629158040273
4.553;213.20882088208822
4.583;213.20087891142055
4.613;213.1929369407529
4.643;213.1854498184515
4.673;213.19836487375434
4.703;213.22477111452275
4.733;213.24413569108626
4.763;213.24413569108626
4.793;213.24413569108626
4.823;213.31499843243074
4.853;213.390922798157
4.883;213.37157462841108
4.913;213.31139537203427
4.943;213.23446094536237
4.973;213.14077134839536
