time;interpolated Pixel forehead
0;209.40985485103133
0.009;209.41363390387937
0.039;209.42623074670618
0.069;209.43882758953296
0.099;209.45142443235977
0.129;209.46402127518658
0.159;209.4766181180134
0.189;209.4892149608402
0.219;209.50181180366698
0.249;209.5144086464938
0.279;209.5270054893206
0.309;209.5396023321474
0.339;209.55219917497422
0.369;209.564796017801
0.399;209.5773928606278
0.429;209.58998970345462
0.459;209.60258654628143
0.489;209.61518338910824
0.519;209.62778023193502
0.549;209.64037707476183
0.579;209.65297391758864
0.609;209.66557076041545
0.639;209.67816760324223
0.669;209.69076444606904
0.699;209.70336128889585
0.729;209.71595813172266
0.759;209.72855497454947
0.789;209.74115181737625
0.819;209.75374866020306
0.849;209.76634550302987
0.879;209.77894234585668
0.909;209.7915391886835
0.939;209.80413603151027
0.969;209.81673287433708
0.999;209.8293297171639
1.029;209.8293297171639
1.059;209.8293297171639
1.089;209.22032924777332
1.119;208.9025898724391
1.149;208.9025898724391
1.179;208.68336184991267
1.209;208.16140249759846
1.239;207.88894469603403
1.269;207.6164868944696
1.299;207.87940856207834
1.329;208.201816837373
1.359;208.28544963725895
1.389;208.2496946994405
1.419;208.17300507858505
1.449;208.034913433174
1.479;207.91998310825488
1.509;207.89769806530333
1.539;207.8754130223518
1.569;207.75296404275997
1.599;207.67325432208162
1.629;207.6118614266519
1.659;207.45939135491375
1.689;207.149606160461
1.719;206.90971833014336
1.749;207.01931732050144
1.779;207.12891631085952
1.809;207.2982764197588
1.839;207.47190517998246
1.869;207.3500187834541
1.899;207.24241238803114
1.929;207.2757353466073
1.959;207.2927844923359
1.989;207.26508065273367
2.019;207.24190401872804
2.049;207.28210826307486
2.079;207.32231250742169
2.109;207.21095709910196
2.139;207.07628482114126
2.169;206.7473951844601
2.199;206.62515374499569
2.229;206.88650883126644
2.259;206.88650883126644
2.289;206.89275771479785
2.319;207.08022422074058
2.349;207.26769072668327
2.379;207.35729546243275
2.409;207.40495943952803
2.439;207.4900929498399
2.469;207.5839854413103
2.499;207.5839854413103
2.529;207.58382249487016
2.559;207.5821930304689
2.589;207.5821930304689
2.619;207.5821930304689
2.649;207.69527571596626
2.679;207.74329714511157
2.709;207.73372620665882
2.739;207.72415526820603
2.769;207.72361987636503
2.799;207.74793223770652
2.829;207.77224459904798
2.859;208.1029185641648
2.889;208.43359252928167
2.919;208.62509925562168
2.949;208.78181417226747
2.979;208.93852908891327
3.009;209.23310451037895
3.039;209.52767993184463
3.069;209.4462826055833
3.099;209.2504587908833
3.129;208.94578854353915
3.159;208.54587766763134
3.189;208.2659400544959
3.219;208.2659400544959
3.249;208.20661994371247
3.279;207.3168182819612
3.309;207.25749817117776
3.339;207.37864354818646
3.369;207.56036161369954
3.399;207.66333518415695
3.429;207.61183194113923
3.459;207.5161176541993
3.489;207.80021931618842
3.519;208.08432097817754
3.549;208.0937910335772
3.579;208.0937910335772
3.609;207.96285649270555
3.639;207.73179553822618
3.669;207.54231138237935
3.699;207.4498397566751
3.729;207.35736813097085
3.759;207.4696293937251
3.789;207.6228372341711
3.819;207.70430069608068
3.849;207.7309008096977
3.879;207.7495208892296
3.909;207.7495208892296
3.939;207.7444760898371
3.969;207.69661578485108
3.999;207.72379845909256
4.029;207.75098113333405
4.059;207.67894212887526
4.089;207.6523467910029
4.119;207.71219896033017
4.149;207.76456385920034
4.179;207.79232772656874
4.209;207.82009159393715
4.239;207.52874230162365
4.269;207.3250470809793
4.299;207.2179881340455
4.329;207.15970621575664
4.359;207.6467173625543
4.389;207.8352176810539
4.419;207.89191302555687
4.449;207.85568781340902
4.479;207.81946260126116
4.509;207.7892749244713
4.539;207.7892749244713
4.569;207.82427070650425
4.599;207.85279569146846
4.629;207.8763724198507
4.659;207.89163657430845
4.689;207.82134019483416
4.719;207.51709290263506
4.749;207.22081537661836
4.779;207.1556610698912
4.809;207.0905067631641
4.839;207.2367211826234
4.869;207.3276726265318
4.899;207.344037166308
4.929;207.47544310146802
4.959;207.80555690138198
4.989;208.0831503023371
5.019;208.01936111006
5.049;207.95557191778295
5.079;208.14461896517793
5.109;208.3725638955994
5.139;208.3801977456088
5.169;208.26028307537962
5.199;208.1446337596862
5.229;208.03635187455447
5.259;207.94611697027804
5.289;207.94611697027804
5.319;208.04338273240106
5.349;208.05310930861336
5.379;208.06430202210223
5.409;208.0802916128006
5.439;208.1242571311221
5.469;208.21654470624722
5.499;208.23192596876808
5.529;208.23192596876808
5.559;208.47059330012038
5.589;208.81154663062367
5.619;208.77941973344272
5.649;208.5384680045857
5.679;208.29751627572867
5.709;208.27342110284297
5.739;208.27342110284297
5.769;208.40854889649822
5.799;208.38724447080165
5.829;208.07302204702435
5.859;207.8486270504528
5.889;207.91937931470008
5.919;207.99013157894737
5.949;207.99013157894737
5.979;207.8882174321943
6.009;207.89894695125403
6.039;208.05333748513843
6.069;208.25368152927024
6.099;208.56251027430264
6.129;208.48879038155218
6.159;208.41507048880172
6.189;208.27196766757672
6.219;208.11819054966335
6.249;208.05730363925485
6.279;208.07769566041313
6.309;208.0475070000511
6.339;208.03744411326377
6.369;207.72560539917225
6.399;207.37242813410762
6.429;207.56025119527985
6.459;207.74807425645207
6.489;207.93589731762427
6.519;208.08100246991222
6.549;208.21953563621796
6.579;208.1812133304978
6.609;208.01916945138726
6.639;208.1528907313925
6.669;208.28738208244565
6.699;208.44420549388738
6.729;208.60102890532912
6.759;208.87575590063153
6.789;208.92345161093215
6.819;208.8612156722469
6.849;208.8333392204306
6.879;208.83910756427125
6.909;208.79426720408728
6.939;208.78679381072328
6.969;208.78679381072328
6.999;208.68775674009038
7.029;208.5226949557022
7.059;208.42884663186834
7.089;208.45800337626463
7.119;208.4871601206609
7.149;208.4910476865804
7.179;208.4910476865804
7.209;208.59530804548652
7.239;208.76907531033004
7.269;208.90119117897572
7.299;208.97082995332468
7.329;208.98962695702596
7.359;208.68834160170093
7.389;208.68834160170093
7.419;208.90181857383016
7.449;208.87919291840862
7.479;208.7773263819279
7.509;208.95161853677035
7.539;209.12591069161277
7.569;209.16972931043705
7.599;209.20904884181246
7.629;209.24326079463873
7.659;209.27561544617444
7.689;209.26881134587305
7.719;209.22284849373452
7.749;209.28216276378572
7.779;209.68738757817474
7.809;210.0719048477203
7.839;210.16651648945756
7.869;210.2611281311948
7.899;210.14498534957045
7.929;210.08870822041553
7.959;209.88607046070462
7.989;209.65622310443916
8.019;209.9032540487756
8.049;210.13942511989316
8.079;210.06065986766222
8.109;210.0332721920311
8.139;210.01616003171995
8.169;210.10234610635413
8.199;210.25285058301446
8.229;210.19791393745027
8.259;210.14297729188607
8.289;210.12832751973562
8.319;210.18814508567104
8.349;210.3077802175419
8.379;210.3915248098515
8.409;210.38208072511523
8.439;210.09875818302712
8.469;209.81543564093897
8.499;209.75877113252136
8.529;209.75105076348942
8.559;209.73742658284482
8.589;209.72879793510324
8.619;209.72879793510324
8.649;209.76632954066582
8.679;209.9915191740413
8.709;209.7665143982412
8.739;209.73651376146788
8.769;209.7307054101581
8.799;209.72278493109928
8.829;209.704039171608
8.859;209.672921663051
8.889;209.63715513708235
8.919;209.58611326818956
8.949;209.5350713992968
8.979;209.6887670012774
9.009;209.4272990333336
9.039;209.10087360651087
9.069;208.9203830781671
9.099;208.8787822535734
9.129;208.85035499046646
9.159;208.79350046425256
9.189;208.79350046425256
9.219;208.79739741404399
9.249;208.91430590778697
9.279;209.03121440152995
9.309;208.95919486843766
9.339;208.87571879057688
9.369;208.88165252108936
9.399;208.91725490416417
9.429;208.92200188857413
9.459;208.92200188857413
9.489;208.90574172597252
9.519;208.80818075036277
9.549;208.7886685552408
9.579;208.7886685552408
9.609;208.79092618372593
9.639;208.68750108322018
9.669;208.4225887518415
9.699;208.1841054954919
9.729;208.0324606285238
9.759;207.8957361436139
9.789;208.19170273839202
9.819;208.42022184117087
9.849;208.6318790709499
9.879;208.7039486113735
9.909;208.68430001889288
9.939;208.5963667327729
9.969;208.06876701605307
9.999;208.16063467536554
10.029;208.27386327867913
10.059;208.52575578010666
10.089;208.6826062107068
10.119;208.71452254310577
10.149;208.80156708601208
10.179;208.87990717462773
10.209;208.87990717462773
10.239;208.81215388710314
10.269;208.73687245652025
10.299;208.68613255561274
10.329;208.7581003030823
10.359;208.83006805055183
10.389;209.20970953672537
10.419;209.30342044581093
10.449;209.30342044581093
10.479;209.45340111614453
10.509;209.5867172675522
10.539;209.5867172675522
10.569;209.61668803528386
10.599;209.76654187394226
10.629;209.6438477438171
10.659;209.61742927662806
10.689;209.61742927662806
10.719;209.63025201941107
10.749;209.64868471216164
10.779;209.64868471216164
10.809;209.57893250290383
10.839;209.50677504505092
10.869;209.75037778617303
10.899;210.00614258402464
10.929;210.17208002729527
10.959;210.3380174705659
10.989;210.3380174705659
11.019;210.3380174705659
11.049;210.20077117941585
11.079;210.0047050492015
11.109;210.027786985608
11.139;210.33744716298025
11.169;210.6486280487805
11.199;210.9658917682927
11.229;210.92342222127957
11.259;210.88095267426647
11.289;210.87245876486384
11.319;210.6652388817178
11.349;210.35440905699878
11.379;210.0866443351094
11.409;209.88347726746457
11.439;209.72094361334868
11.469;209.72094361334868
11.499;209.72094361334868
11.529;209.87259661048873
11.559;210.1759026047688
11.589;210.4084372003835
11.619;210.4019747093869
11.649;210.3535060269124
11.679;210.30503734443792
11.709;210.4579087028255
11.739;210.63315117686446
11.769;210.4781654120826
11.799;210.1580655278904
11.829;210.008685581934
11.859;210.008685581934
11.889;210.07798568991623
11.919;210.3133362057236
11.949;210.3279627193977
11.979;210.3425892330718
12.009;210.27118526326856
12.039;210.2384243635856
12.069;210.23799719205917
12.099;210.2023941036046
12.129;210.1785025086839
12.159;210.33191817830954
12.189;210.48814584144088
12.219;210.6837414136526
12.249;210.70330097087378
12.279;210.58902651434542
12.309;210.43319770998855
12.339;210.33636939356194
12.369;210.2985415650656
12.399;210.13210844072913
12.429;209.62164750957854
12.459;209.62164750957854
12.489;209.62764327190342
12.519;209.58784042961258
12.549;209.59572356484546
12.579;209.64306491093424
12.609;209.61214389860928
12.639;209.4460424490242
12.669;209.27994099943908
12.699;209.2356472795497
12.729;209.40293046238997
12.759;209.7309470712196
12.789;210.0643451930356
12.819;210.0643451930356
12.849;209.99579971428992
12.879;209.9135451397951
12.909;209.9322521552399
12.939;210.02816509240319
12.969;210.08890995260663
12.999;210.06935600780596
13.029;209.97158628380262
13.059;209.87381655979925
13.089;209.86217659216396
13.119;209.8568716780562
13.149;209.8568716780562
13.179;209.8568716780562
13.209;209.89006233133483
13.239;209.94201116207734
13.269;210.00642742519562
13.299;210.07591154613274
13.329;210.2923635438165
13.359;210.4492396882722
13.389;210.35889213396132
13.419;210.08455316354764
13.449;209.95462222220104
13.479;210.1135073389886
13.509;210.26244117976972
13.539;210.27205715646093
13.569;210.28167313315217
13.599;210.1815276743609
13.629;210.05942992847312
13.659;210.03851617564763
13.689;210.09497841751684
13.719;210.1307089623543
13.749;210.12497611312824
13.779;210.10765758034827
13.809;209.92813947781377
13.839;209.8946763692072
13.869;209.95104518741104
13.899;210.06369910702503
13.929;210.1858845507939
13.959;210.3303102175908
13.989;210.46510750660127
14.019;210.46510750660127
14.049;210.5224183225039
14.079;210.59405684238223
14.109;210.60835238360747
14.139;210.5724728185113
14.169;210.4839408181118
14.199;210.25061462062817
14.229;210.02506596306068
14.259;210.02506596306068
14.289;209.97005609631717
14.319;209.90129376288775
14.349;209.88469245109877
14.379;209.9137320332452
14.409;209.9340597407477
