time;Pixel rightCheek
0;127.8100529100529
0.266;134.4615796519411
0.372;127.37033055630206
0.412;123.12738525012894
0.464;120.78494069107788
0.497;119.62042289840124
0.589;117.17766890149562
0.692;117.51315110881897
0.765;116.564631043257
0.846;116.19847328244275
0.898;119.77171464330414
0.957;120.35121951219512
1.002;121.41463414634147
1.067;119.1658586374075
1.113;116.62655181150241
1.16;117.47225741069167
1.205;116.1309949892627
1.264;116.75996182295395
1.306;117.19756621331425
1.362;117.24170842281079
1.401;116.03044240035041
1.444;116.85238720981165
1.502;117.06632877919789
1.552;118.73248126928162
1.597;119.87511394712853
1.655;120.49817684594348
1.711;121.43532229965157
1.771;122.2439024390244
1.811;122.12955832389581
1.877;122.04167610419026
1.924;121.08735362997658
1.975;120.71896955503513
2.022;120.78196721311475
2.063;120.18149882903981
2.104;120.95708712613784
2.18;120.96337234503684
2.274;119.98336252189142
2.331;119.91484238178634
2.406;120.49296366309599
2.444;120.01117087298303
2.488;120.28651220521307
2.537;120.79761904761905
2.617;120.78961412151067
2.672;121.02788181439867
2.764;121.05222638368706
2.889;120.9481897627965
2.973;120.61472495293872
3.046;120.62371888726207
3.145;120.72936740678676
3.208;122.31910984075132
3.262;122.85483870967742
3.322;121.77363289529461
3.378;122.10661297159814
3.435;122.71310432569975
3.482;122.04542546385157
3.541;122.12092130518234
3.579;121.96758370654725
3.629;121.76903390914907
3.682;122.09392611145898
3.757;123.52525867315886
3.84;124.43517954960438
3.914;124.45059207839935
3.978;126.03782696177062
4.028;126.09597585513079
4.126;126.15605622157916
4.209;126.38218272013229
4.288;125.68955532574974
4.345;125.59855222337126
4.395;125.61882109617373
4.452;123.9715052653314
4.519;123.81561015899236
4.583;123.38549075391181
4.664;122.96464133306239
4.701;123.6313151563753
4.749;123.7387730553328
4.811;123.09808612440192
4.872;121.5450137044065
4.922;121.71305081172254
4.967;122.26408237431859
5.017;122.36482939632546
5.063;128.98445386634364
5.113;128.5735856653916
5.159;128.95973424602374
5.268;128.51399234950674
5.346;128.40608012885042
5.466;128.35986367281475
5.557;128.37530072173215
5.623;128.313151563753
5.669;129.12748926200703
5.758;129.37016790316284
5.839;129.2100741897696
5.886;128.47655463876032
5.926;128.6961159186959
5.964;128.93902193600323
6.019;129.06434852118306
6.087;128.9646282973621
6.127;129.02038369304557
6.183;128.9146682653877
6.237;128.20851326341764
6.296;127.8069093152375
6.349;127.59181575159367
6.392;127.62882994036603
6.426;128.29054588607596
6.465;128.35423259493672
6.525;128.61352848101265
6.585;129.1058619359815
6.638;129.04435017354416
6.684;128.93705622721166
6.719;129.34024179620033
6.763;129.30282095567068
6.806;129.19573978123202
6.849;128.94978590891398
6.891;128.7983651226158
6.945;128.4632152588556
7.021;128.85310290652004
7.086;128.66339355852318
7.127;128.74764336213667
7.175;128.10049261083745
7.22;128.26817733990148
7.267;128.24926108374385
7.31;128.14778725131953
7.357;128.5560292326431
7.396;127.66825396825396
7.477;128.08392857142857
7.613;128.67914758016332
7.676;128.55984863572994
7.723;128.88197172034563
7.77;128.0844461901021
7.813;128.72533543804263
7.854;128.62490134175218
7.9;128.33705663335292
7.938;128.15343915343917
7.986;128.04154418969233
8.03;128.40172447579855
8.071;128.25136944613513
8.108;127.9151957800771
8.146;128.09850398290266
8.198;128.27122595686808
8.267;128.46335182250397
8.324;128.5196117274168
8.455;128.57148475909537
8.511;128.3284169124877
8.551;128.67138643067847
8.598;127.97226688102894
8.663;128.34023311897107
8.709;128.20560747663552
8.759;128.1452492211838
8.812;128.2548676012461
8.855;128.17426012461058
8.889;128.35037803422205
8.935;127.991643454039
8.975;128.96652558676413
9.017;128.42150827241247
9.057;129.33747847713795
9.148;128.10288557213931
9.215;128.02328358208956
9.27;128.23562189054726
9.32;129.5131604601287
9.389;129.665431858062
9.427;127.63971774193548
9.497;128.0094758064516
9.562;127.75786290322581
9.607;128.68312674930027
9.656;128.35865653738506
9.695;128.5118474282412
9.755;128.62897322288578
9.808;128.25751243781096
9.864;128.34029850746268
9.9;128.18190567853705
9.973;128.48192771084337
10.034;128.06182105471063
10.079;128.3272763183883
