time;interpolated Pixel forehead
0;240.7848507278559,230.3185294843326,231.27757216876387
0.002;240.7840415574284,230.3167783965035,231.2719859401754
0.032;240.77190400101554,230.290512079067,231.18819251134846
0.062;240.7597664446027,230.26424576163055,231.1043990825215
0.092;240.74762888818987,230.23797944419405,231.02060565369453
0.122;240.735491331777,230.2117131267576,230.9368122248676
0.152;240.72335377536416,230.1854468093211,230.85301879604063
0.182;240.71121621895134,230.15918049188463,230.7692253672137
0.212;240.69907866253848,230.13291417444813,230.68543193838673
0.242;240.68694110612566,230.10664785701167,230.60163850955976
0.272;240.6748035497128,230.08038153957517,230.51784508073283
0.302;240.66266599329995,230.0541152221387,230.43405165190586
0.332;240.65052843688713,230.0278489047022,230.35025822307892
0.362;240.63839088047428,230.00158258726574,230.26646479425196
0.392;240.62625332406142,229.97531626982925,230.182671365425
0.422;240.6141157676486,229.94904995239276,230.09887793659806
0.452;240.60197821123575,229.9227836349563,230.0150845077711
0.482;241.06742388480103,230.59973225817458,230.6628177804126
0.512;241.70653618744925,231.53239540526738,231.57656076267904
0.542;242.34564849009746,232.46505855236015,232.4903037449455
0.572;242.98476079274567,233.39772169945294,233.40404672721192
0.602;243.45663513176171,234.11872967645598,234.10810695781262
0.632;243.46860507078915,234.25768593571235,234.23553962133258
0.662;243.4805750098166,234.39664219496868,234.36297228485256
0.692;243.49254494884403,234.53559845422504,234.49040494837251
0.722;243.50451488787147,234.6745547134814,234.6178376118925
0.752;243.60904425865857,234.29347277167557,234.42787564075115
0.782;243.7417438912856,233.75411833389433,234.14131530253897
0.812;243.87444352391265,233.21476389611306,233.8547549643268
0.842;244.00714315653968,232.6754094583318,233.5681946261146
0.872;244.05519236122257,232.2961226380502,233.330572301726
0.902;243.76463985412877,232.55710628776717,233.28870203263165
0.932;243.474087347035,232.81808993748413,233.2468317635373
0.962;243.18353483994125,233.07907358720112,233.20496149444295
0.992;242.89298233284745,233.34005723691808,233.16309122534858
1.022;243.24548488476682,234.0783157811913,234.0423042681911
1.052;243.83182563996368,234.9901288325759,235.25645669719245
1.082;244.41816639516057,235.90194188396046,236.47060912619378
1.112;244.79237635369634,236.4827550984876,237.18822095574154
1.142;244.67161445335626,236.2912353603473,236.7472380532309
1.172;244.55085255301614,236.09971562220701,236.30625515072023
1.202;244.43009065267606,235.90819588406674,235.8652722482096
1.232;244.35082678069307,235.78509989550568,235.7945571208964
1.262;244.27452705359272,235.66689131762885,235.75028969181162
1.292;244.1982273264924,235.54868273975205,235.7060222627268
1.322;244.2170778825658,235.57697567711287,235.76144743232788
1.352;244.31918493641624,235.73345744030667,235.9041036257791
1.382;244.42129199026667,235.88993920350043,236.04675981923032
1.412;244.5120044079966,236.02463802381035,236.1694841696559
1.442;244.50016510064185,235.96329035816538,236.11282193285055
1.472;244.48832579328712,235.9019426925204,236.0561596960452
1.502;244.47648648593238,235.84059502687546,235.99949745923985
1.532;244.46464717857765,235.7792473612305,235.9428352224345
1.562;244.45280787122292,235.71789969558554,235.88617298562917
1.592;244.4747012953505,235.7768290867656,235.89600614714016
1.622;244.52611085952523,235.94100090266755,235.96402278217792
1.652;244.57752042369992,236.10517271856952,236.0320394172157
1.682;244.6289299878746,236.2693445344715,236.10005605225348
1.712;244.674069667993,236.4130056603771,236.1581890307435
1.742;244.63143097132308,236.26951712633385,236.07795081756493
1.772;244.58879227465314,236.12602859229062,235.99771260438635
1.802;244.54615357798323,235.98254005824737,235.91747439120775
1.832;244.49045905525568,235.8801146304729,235.8357398564983
1.862;244.41518079344166,235.83928386210152,235.75176083949253
1.892;244.33990253162764,235.7984530937302,235.6677818224868
1.922;244.26462426981362,235.75762232535882,235.58380280548104
1.952;244.1893460079996,235.7167915569875,235.49982378847528
