time;interpolated Pixel rightCheek
0;154.47696845926936,140.023598820059,140.21783526208304
0.002;154.44887857311105,139.9965542522078,140.1862971196392
0.032;154.02753028073633,139.59088573443998,139.71322498298161
0.062;153.6061819883616,139.18521721667216,139.24015284632404
0.092;153.18483369598692,138.77954869890434,138.76708070966643
0.122;152.7634854036122,138.3738801811365,138.29400857300885
0.152;152.3421371112375,137.9682116633687,137.82093643635125
0.182;151.92078881886277,137.56254314560087,137.34786429969367
0.212;151.49944052648806,137.15687462783305,136.8747921630361
0.242;151.07809223411337,136.75120611006523,136.40172002637848
0.272;150.65674394173865,136.3455375922974,135.9286478897209
0.302;150.23539564936394,135.93986907452958,135.4555757530633
0.332;149.81404735698922,135.53420055676176,134.98250361640572
0.362;149.39269906461453,135.12853203899394,134.50943147974814
0.392;148.97135077223982,134.72286352122612,134.03635934309054
0.422;148.5500024798651,134.3171950034583,133.56328720643296
0.452;148.12865418749038,133.91152648569044,133.09021506977538
0.482;151.4983607448196,136.96307801606852,136.07406354151573
0.512;156.2466327020411,141.2718004730451,140.31497405267353
0.542;160.99490465926263,145.58052293002163,144.55588456383134
0.572;165.74317661648413,149.8892453869982,148.79679507498915
0.602;169.34045190236543,153.15783360885075,152.0058927767793
0.632;169.7724863420611,153.5660526841123,152.37750525280842
0.662;170.20452078175677,153.97427175937383,152.74911772883758
0.692;170.63655522145243,154.38249083463538,153.1207302048667
0.722;171.06858966114808,154.79070990989692,153.49234268089583
0.752;170.67636127363411,153.8958487254709,152.8780922125825
0.782;170.03327028653456,152.60439789679216,151.96379650033882
0.812;169.39017929943503,151.31294706811343,151.04950078809514
0.842;168.7470883123355,150.0214962394347,150.13520507585147
0.872;168.05943557152776,148.9855937555823,149.3259551529218
0.902;167.193535815887,148.9718846510354,148.93688838724825
0.932;166.32763606024628,148.9581755464885,148.54782162157466
0.962;165.46173630460555,148.94446644194156,148.15875485590107
0.992;164.5958365489648,148.93075733739465,147.76968809022748
1.022;166.81001626489152,151.18111322562314,150.22221558473916
1.052;170.14422487957,154.25476547486087,153.70805008295457
1.082;173.47843349424852,157.32841772409859,157.19388458116998
1.112;175.72609522678547,159.3542599280275,159.40382001361414
1.142;175.43848090099223,158.93521202623583,158.63665762592535
1.172;175.15086657519896,158.51616412444415,157.8694952382366
1.202;174.8632522494057,158.09711622265246,157.10233285054784
