time;Pixel forehead
0;240.7848507278559,230.3185294843326,231.27757216876387
0.46;240.59874152952565,229.9157792836399,229.99273959341724
0.594;243.45344314802105,234.08167467398764,234.0741249142073
0.729;243.50730787364452,234.7069778406412,234.64757190004715
0.866;244.11330286264132,232.2439259081068,233.33894635554486
1;242.81550166428912,233.4096528768426,233.15192582025676
1.103;244.82860492379837,236.54021101992967,237.32051582649473
1.204;244.42203985932005,235.89542790152404,235.83587338804222
1.306;244.1626207871789,235.49351873674286,235.6853641291539
1.409;244.51318833873208,236.03077279037484,236.17515039333642
1.576;244.44728286112402,235.68927078495122,235.85973060845333
1.71;244.67691224777099,236.42257156264665,236.16353824495542
1.82;244.5205703599813,235.89644693782142,235.8693314633006
1.955;244.1818181818182,235.71270848015035,235.49142588677472
2.082;242.3875968992248,232.54240075170307,232.4373972280949
2.217;244.03434671617543,232.43490368995126,233.75423532142028
2.319;247.06089743589743,237.3912721893491,238.73939842209072
2.422;246.82681840672933,236.72167243938645,238.3461157842652
2.524;245.80664652567975,234.7185297079557,235.82225579053375
2.659;247.1376100628931,237.20352201257862,238.60704402515722
2.794;247.02392947103274,236.97531486146096,238.56775818639798
2.894;247.16867167919798,236.84887218045114,238.59298245614036
3.029;247.86743084973835,237.9309743334164,239.60328930974333
3.139;247.4598969830758,237.50821682609762,239.1169977924945
3.272;247.69956246961596,237.82839086047642,239.54132231404958
3.374;246.90174934100168,236.53534627366403,237.91301222142343
3.475;246.66006679389312,236.20085877862596,237.61521946564886
3.575;246.99220963172806,236.55169971671387,238.01369216241739
3.707;246.4501637810014,235.89073467477772,237.1244735610669
3.843;246.4868913857678,236.01661985018725,237.24578651685394
3.95;246.19718640093788,235.41406799531066,236.99718640093786
4.089;246.31097992916176,235.61487603305784,237.11310507674145
4.19;246.39831500117015,235.8829861923707,237.31289492160076
4.29;246.37748654341212,235.7750994617365,237.1497776737655
4.391;246.71820741435945,236.05959643359924,237.57883622712342
4.558;246.46944052656323,235.85096379877763,237.3989186647861
4.659;246.10044486068836,235.0266916413018,236.28400842893936
4.826;246.14558303886926,235.23722025912838,236.74157832744405
4.931;246.1577578051088,235.2802743614002,236.78713339640493
5.097;246.72168589592653,236.22604191193784,237.87520602778432
5.199;246.7705034270858,236.1370834318128,237.67052706216023
5.333;246.7449220595182,236.3401039206424,237.79286726499762
5.434;246.8894128743221,236.58476774345672,238.1200188634756
5.535;246.47144217039505,235.93645882912898,237.2977153736316
5.636;246.5679218303146,236.2762154432793,237.5886558627264
5.791;246.32429245283018,235.57240566037737,236.98490566037736
5.929;246.16395376267988,235.46685539042227,237.11606510969568
6.063;246.71882465360727,236.3392259913999,237.713569039656
6.166;247.01751479289942,237.03360946745562,238.57988165680473
6.299;247.54209681119522,237.94081211286993,239.66574902500574
6.405;247.29749430523918,237.51343963553532,238.9895216400911
6.507;247.55162918770077,237.88297384121157,239.24965580541533
6.641;247.31712328767122,237.79908675799086,239.16415525114155
6.742;247.20526918671248,237.55807560137458,239.05589919816725
6.911;247.2208209126347,237.46938775510205,238.99059848658564
7.045;247.18991981672394,237.3012600229095,238.84536082474227
7.179;246.9889680533211,236.92139737991266,238.57090324063435
7.315;247.59188876013906,237.94368482039397,239.37172653534182
7.453;247.909617612978,238.59536500579375,240.05121668597914
7.589;247.60143087929842,238.16616662820218,239.51511654742671
7.703;246.85580084546734,236.74518553311412,238.02912165335837
7.803;247.13408205363282,237.47261058904422,238.86866834746735
7.915;246.78711028385297,236.67659376454165,238.17240577012564
8.017;247.37511520737328,237.64354838709679,239.23271889400922
8.152;247.14471243042672,237.24188311688312,238.9023654916512
8.258;246.83441558441558,236.81423933209646,238.4863172541744
8.358;247.07296236435005,237.0755021934888,238.8704687139229
