time;Pixel leftCheek
0;228.2382425742574,207.77227722772278,213.8085808580858
0.46;228.85616010006254,208.9159891598916,213.1509276631228
0.594;222.39710381399144,201.19355496634714,204.83765041811137
0.729;222.36197970594327,201.4504038103127,204.65707185752743
0.866;226.5466723368063,202.23112906655325,208.18839038911332
1;223.94100169779287,203.58106960950764,206.901740237691
1.103;221.94390795151017,201.20793096363263,206.13437435792068
1.204;221.697760427368,201.16478323402507,204.5882473803164
1.306;222.14587212911235,201.13531967721912,204.6045934202359
1.409;222.52019150707744,201.72793505412156,205.51415487094087
1.576;221.83606897984626,201.2056929150218,204.72615832121338
1.71;222.41574901308954,201.73987118221484,205.30438396010805
1.82;223.14351464435146,202.80857740585773,206.276359832636
1.955;221.4746887966805,201.17676348547718,204.41784232365146
2.082;222.04771784232366,202.0246887966805,205.14107883817428
2.217;223.25036511579387,199.2695597746714,205.04256206968495
2.319;221.71663701067615,197.48821174377224,202.92170818505338
2.422;224.17079264138087,199.93822393822393,205.89302748126278
2.524;224.73507635354002,201.07195742711707,206.8722813512263
2.659;227.24716553287982,203.05873015873016,209.35442176870748
2.794;229.81281580156178,206.45429490124025,212.8323380799265
2.894;228.13712451272644,204.87594588397155,211.00022930520524
3.029;227.12412862604003,203.3424780751068,209.67461209804364
3.139;225.33962264150944,201.29833518312986,207.74406215316316
3.272;224.10685663401603,199.7172751558326,206.23085485307212
3.374;222.22718362012634,198.02918754084078,204.14593770420387
3.475;224.10998902305158,199.92930845225027,206.17760702524697
3.575;225.8303726169844,201.42006065857885,208.17157712305027
3.707;225.51246239793727,201.2881392350666,207.37236785560808
3.843;224.37425277540564,200.45175064047822,206.64410760034158
3.95;226.73218514531754,202.34467168998924,208.90505920344455
4.089;225.24342388960758,200.83980163863734,207.25851660198362
4.19;226.20879358891054,201.43296512887156,208.24756335282652
4.29;225.96946068875894,201.4630712583929,207.95191682910982
4.391;225.36596937675222,200.65516497735604,207.09014448997198
4.558;225.2206008583691,200.75,207.2609442060086
4.659;226.2129987129987,201.5812955812956,208.24753324753326
4.826;225.60339274210867,200.97272922482284,207.7726003865149
4.931;225.53894554133217,200.8142764157084,207.14992406161858
5.097;225.69468452895418,200.90687121866898,207.47407087294727
5.199;225.71840068787617,201.09243336199484,207.71001719690454
5.333;225.38241663057602,200.83347769597228,207.3529666522304
5.434;225.50279449699053,200.66552020636286,207.33748925193464
5.535;226.0125080871253,201.33556178563725,207.848609014449
5.636;225.74788273615636,201.37480998914225,207.82888165038003
5.791;226.06768700150894,201.28605302866998,208.0150894589351
5.929;225.4730603448276,200.6760775862069,207.27887931034482
6.063;225.86461211477152,201.2663124335813,208.0729011689692
6.166;225.90336404542532,200.9365759588601,207.8752946218127
6.299;225.0358565737052,200.18410568253302,206.84713776473055
6.405;223.73448563098708,199.24031653477718,205.38921282798833
6.507;224.544925124792,200.50207986688852,206.68656405990018
6.641;226.1149256855767,201.8180866652711,208.03349382457608
6.742;223.86074629977068,199.98415676464458,206.08943089430895
6.911;224.48548421275694,199.9169315532952,206.51854206399662
7.045;223.76606086221472,199.11728655959425,205.55071851225696
7.179;224.75461522505705,199.97241236258037,206.54241858535573
7.315;223.8944513975803,199.14664163537756,205.67459324155195
7.453;221.85627868168544,196.7206925323321,202.74822695035462
7.589;221.3273588792748,196.47672023073753,202.45982694684795
7.703;220.8067279565399,195.81236941078146,202.0434600919348
7.803;221.9724393253805,196.72891814068285,203.1986836692719
7.915;222.33827160493829,197.56687242798353,203.75987654320988
8.017;222.67539698906992,197.87193235718703,204.49639100845536
8.152;223.6092167803265,198.77516015705723,205.30068195908245
8.258;224.16408348832402,199.58111179995868,205.74870841082867
8.358;222.96374436706267,198.35927898402295,204.69213437115937
8.46;222.7162523114855,198.49866447503595,204.54345592767618
8.526;224.41347753743761,200.04991680532447,206.49417637271213
8.631;222.83275332650973,198.75312180143297,205.2290685772774
8.765;223.780626181971,199.35406598024795,206.37318764446312
8.899;222.4182316944503,197.6691285081241,204.0622494197088
