time;Pixel rightCheek
0;154.47696845926936,140.023598820059,140.21783526208304
0.46;148.01629464285713,133.8033482142857,132.9640625
0.594;169.2252427184466,153.04897518878101,151.90679611650486
0.729;171.16939769707707,154.88596102745794,153.57905225863595
0.866;168.2326155226559,148.9883355764917,149.40376850605654
1;164.3649299474606,148.92710157618214,147.66593695271453
1.103;175.81237952452346,159.479974298565,159.63396872992075
1.204;174.84407796101948,158.06917969586635,157.0511886913686
1.306;172.99830184674167,156.6221609000212,155.41753343239228
1.409;167.36102500516637,151.43314734449265,150.49535027898327
1.576;174.0458579881657,157.4165257819104,156.5006339814032
1.71;173.6029657477026,157.1203007518797,155.98162071846284
1.82;170.56885726245292,154.24863959815823,153.08580996232735
1.955;166.15484410964638,150.64092906465788,149.57606193764386
2.082;154.47938899351328,139.45176815233313,137.82130152751623
2.217;156.27156153050672,137.9071354705274,138.32223371251294
2.319;185.9535034602076,164.69139273356402,165.5099480968858
2.422;179.95293609671847,159.54857512953367,159.78993955094992
2.524;184.9986607142857,163.30959821428573,164.04620535714287
2.659;186.46595373199477,165.20187690964644,165.5709297250109
2.794;187.36373554440323,166.20096006982325,167.08029674885447
2.894;190.2947504302926,168.68136833046472,169.45804647160068
3.029;200.50063775510205,178.3248299319728,179.4279336734694
3.139;201.22720510095644,178.76748140276302,180.10499468650372
3.272;202.3118884030814,179.98521757235062,181.57151780137414
3.374;199.77312138728323,177.467382328654,178.56606110652353
3.475;190.91444600280505,169.1412542576638,170.09957924263674
3.575;190.64997964997966,169.41127391127392,170.43752543752544
3.707;188.7101091208565,167.43504220712373,167.982499485279
3.843;187.24896779521058,165.85900082576384,166.71222130470684
3.95;182.54614594039055,161.70524152106887,162.49044193216855
4.089;187.56371534960695,166.4577989242863,167.1510136532892
4.19;185.78539094650205,164.6514403292181,165.5135802469136
4.29;185.87942386831276,164.7037037037037,165.5820987654321
4.391;189.00373211693966,167.65871863985072,168.52705784781256
4.558;188.57077720207255,166.66259067357512,167.699896373057
4.659;185.04234122042342,163.87816521378164,164.52947281029472
4.826;185.6578728707935,164.50893228084752,165.1271292064811
4.931;185.4126754748142,164.06585466556564,165.22853014037986
5.097;187.5169957256259,166.01750457968654,167.1333197638917
5.199;186.89036612804256,165.5457148701166,166.5367150746574
5.333;188.943172526574,166.86038430089943,167.86958299264106
5.434;188.66302780638517,166.7091658084449,168.05355303810504
5.535;185.35999181836777,163.94947842094498,164.84516260994067
5.636;188.52487100103198,167.0045407636739,167.9514963880289
5.791;185.97796715859488,164.38765329453335,165.58948243608398
5.929;186.37379656760152,164.52344077019674,165.66973629133528
6.063;186.95583075335398,165.36780185758514,166.45098039215685
6.166;188.3910411622276,166.58857949959645,167.74233252623083
6.299;187.87204919658797,166.36143622297163,167.4011108906963
6.405;186.00783238691992,164.75093009594673,165.87879381241433
6.507;184.35004897159646,163.3694417238002,164.34201762977474
6.641;184.0025565388397,162.97463126843658,164.15103244837758
6.742;187.10369206598585,165.88707776904948,167.01492537313433
6.911;180.5452404317959,159.52777232580962,160.63356231599607
7.045;181.96842525979216,160.61031175059952,161.80675459632295
7.179;183.32224861441014,162.10985748218528,163.21654790182106
7.315;185.35670791593006,163.68964839913573,164.6157925751326
7.453;183.041249263406,161.43429581614615,162.56865055981143
7.589;180.01008338181114,158.6711266240062,159.14717859220477
7.703;176.13282916424276,155.2478184991274,156.18324607329842
7.803;179.55810757754222,158.0121711817825,159.19611307420496
7.915;177.4467461403166,156.3672073480555,157.47430134844635
8.017;181.94608900215644,160.71966281121348,161.5300921387963
8.152;179.10730858468676,158.0852668213457,159.07811291569993
8.258;177.89791183294665,157.17749419953597,157.96036349574632
8.358;181.93653250773994,160.93672600619195,162.0953947368421
8.46;184.1019305019305,163.01660231660233,164.27471042471043
8.526;181.86974951830445,161.1369942196532,162.24585741811174
8.631;183.82708089097304,162.77569363032435,164.41344275107463
8.765;182.0052103434967,161.0275955229641,162.56348900038594
8.899;184.93959731543623,163.52532031726662,165.14276998169615
9.001;177.6331516252776,157.07005855037352,158.18958207147185
9.102;178.6746065504041,159.9234368353892,160.74521480221182
9.202;173.0740117746005,154.74726661059714,155.43671152228762
9.302;177.21715017064847,158.46501706484642,159.2811433447099
9.398;178.0389417989418,159.5822222222222,160.5489947089947
9.498;186.58904998917984,166.7790521532136,168.11231335208828
9.564;187.63903916901103,168.41289764120322,169.55096299502273
9.632;166.59495295124037,148.72711719418305,149.63473053892216
9.699;168.47322594688725,150.46887244231607,151.25925119721376
9.773;170.82078614257162,152.80701754385964,153.76660004441484
9.908;165.20340091563114,147.85524307826466,148.86091127098322
10.008;170.94066507281025,152.66789828298195,153.61356226907193
10.11;174.27338286713288,156.11888111888112,157.23098776223776
10.277;176.2417051658967,157.6969760604788,158.47165056698867
10.376;177.31530204167544,158.82508945485162,159.93264575878763
10.446;174.14136661211128,156.16530278232406,157.32712765957447
10.513;176.52317047599078,157.62486894527154,158.62780457118893
10.621;168.88681162365373,151.48790896159318,152.61410282462913
10.723;172.34662447257384,154.18037974683546,155.47215189873418
10.825;168.87039674465922,151.73163784333673,152.99776195320447
10.929;171.04855562384756,153.48965375947552,154.72382708461382
11.03;174.76307754935885,156.8516181559129,158.17280683899858
11.131;171.62168874172184,153.83609271523179,155.24130794701986
11.271;171.37513420657075,153.7717414644621,154.82843031994847
11.372;170.01529842706313,152.46046110751993,153.74143503555268
11.473;170.41447227574395,152.982230785699,154.35795332905158
11.54;170.06827482231316,152.54081412879603,153.64462631919017
11.641;175.44204322200392,157.51167867277886,158.7304082078149
11.742;176.72809935684188,158.43734752716787,159.60767354180527
11.82;175.2249945758299,157.3733998698199,158.61119548709047
11.954;173.56348012889367,155.64124597207305,156.90590762620837
12.061;174.5529436679373,156.48390512494706,157.39834815756035
12.166;172.1545627778954,154.49756510692356,155.80986661020538
12.265;173.28273489572135,155.27090948183186,156.59922597290904
12.399;174.96743787489288,156.77163667523564,158.33976006855184
12.501;172.92073557387445,155.21686746987953,156.5003170577045
12.568;176.09027631301413,157.93165998734443,159.31807635519934
12.64;177.4844969415735,159.29192153554104,160.83168107994095
12.706;179.7875691783738,161.34844614729673,163.04512558535546
12.778;170.24478748997595,152.39514835605453,153.69987971130715
12.844;173.92350173859685,156.31806095316014,157.57516874616485
12.946;173.1186790505676,155.31434468524253,156.6297213622291
13.05;176.3990454451131,158.76281386179704,160.02054368126167
13.118;178.74891056235734,160.29030919277858,161.88690599709483
13.223;183.0760440473717,164.2871389985456,166.0783295242053
13.324;172.00181415037292,154.4226970368877,156.08445877847208
13.459;179.82645480808915,161.49215848122162,163.19851423854726
13.561;177.92208059210526,159.7097039473684,161.22162828947367
13.629;178.70647366304786,160.83695215118618,162.16827503015682
13.698;178.07642669893124,160.08308126638434,161.37447065940714
13.799;176.0187651331719,158.20924132364811,159.71307506053267
13.9;174.94596774193548,157.26370967741934,158.41713709677418
14;179.5979213368657,161.23517424088038,162.60220093743632
14.135;180.05667130642274,161.62457745078544,162.9602306621595
14.209;189.77380718633418,170.63381111329275,172.37423915177695
14.311;191.99924328414681,172.50926976920167,174.40597805524027
14.412;194.1626757886735,175.21303686811098,176.92588369441276
