time;interpolated Pixel leftCheek
0;234.78733949087632,208.85830141923856,213.71592701058796
0.015;234.79298624606554,208.869281353378,213.7248731388087
0.045;234.804279756444,208.8912412216569,213.74276539525016
0.075;234.81557326682247,208.91320108993582,213.76065765169162
0.105;234.82686677720093,208.93516095821474,213.7785499081331
0.135;234.8381602875794,208.95712082649365,213.79644216457456
0.165;234.84945379795786,208.97908069477256,213.814334421016
0.195;234.86074730833633,209.00104056305148,213.8322266774575
0.225;234.8720408187148,209.0230004313304,213.85011893389895
0.255;234.88333432909326,209.0449602996093,213.8680111903404
0.285;234.89462783947172,209.0669201678882,213.8859034467819
0.315;234.90592134985016,209.08888003616713,213.90379570322335
0.345;234.91721486022863,209.11083990444604,213.92168795966484
0.375;234.9285083706071,209.13279977272495,213.9395802161063
0.405;234.93980188098556,209.15475964100386,213.95747247254775
0.435;234.95109539136402,209.17671950928278,213.97536472898923
0.465;234.9623889017425,209.1986793775617,213.9932569854307
0.495;234.97368241212095,209.2206392458406,214.01114924187215
0.525;234.98497592249942,209.2425991141195,214.02904149831363
0.555;234.99626943287788,209.26455898239843,214.0469337547551
0.585;235.00756294325635,209.28651885067734,214.06482601119654
0.615;235.01885645363478,209.30847871895625,214.08271826763803
0.645;235.03014996401325,209.33043858723516,214.10061052407949
0.675;235.0414434743917,209.35239845551408,214.11850278052094
0.705;235.05273698477018,209.374358323793,214.13639503696243
0.735;235.06403049514864,209.39631819207187,214.15428729340388
0.765;235.0753240055271,209.4182780603508,214.17217954984534
0.795;235.08661751590557,209.4402379286297,214.19007180628682
0.825;235.09791102628404,209.4621977969086,214.20796406272828
0.855;235.1092045366625,209.48415766518752,214.22585631916976
0.885;235.12049804704097,209.50611753346644,214.24374857561122
0.915;235.1317915574194,209.52807740174535,214.26164083205268
0.945;235.14308506779787,209.55003727002426,214.27953308849416
0.975;235.15437857817633,209.57199713830317,214.29742534493562
1.005;235.1656720885548,209.5939570065821,214.31531760137707
1.035;235.17696559893326,209.615916874861,214.33320985781856
1.065;235.18825910931173,209.6378767431399,214.35110211426002
1.095;233.95816850094255,208.1378469184587,212.6819543660464
1.125;232.72807789257337,206.63781709377747,211.01280661783278
1.155;231.49798728420419,205.13778726909626,209.3436588696192
1.185;230.267896675835,203.63775744441503,207.67451112140557
1.215;229.53806846206368,202.74177866545799,206.69552099814436
1.245;229.19079384416125,202.30772127440767,206.24429847043498
1.275;228.84351922625888,201.87366388335732,205.79307594272564
1.305;228.5733805753745,201.5349465849701,205.44124917995413
1.335;228.68892175958032,201.6729297498985,205.58640124187195
1.365;228.80446294378612,201.8109129148269,205.7315533037898
1.395;228.92000412799194,201.9488960797553,205.87670536570764
1.425;228.53559241777293,201.63007083210042,205.60659583985736
1.455;228.0261924839477,201.19704348129974,205.23267091706504
1.485;227.5167925501225,200.76401613049907,204.8587459942727
1.515;227.23401302787389,200.54604592727935,204.58480445808846
1.545;227.29116412299024,200.6506614454311,204.46083800181634
